destination,place_name,category,address,rating,review_count,url,latitude,longitude
atraksi dekat Mandalika,Sirkuit Internasional Pertamina Mandalika,Lintasan balap mobil,"
Jl. Sengkol, Kuta, Kec. Pujut, Kabupaten Lombok Tengah, Nusa Tenggara Bar. 83573","4,7",4687.0,"https://www.google.com/maps/place/Sirkuit+Internasional+Pertamina+Mandalika/@-8.8951575,116.304228,17z/data=!3m1!4b1!4m6!3m5!1s0x2dcd071ecdcec477:0x44f271f670057e58!8m2!3d-8.8951575!4d116.304228!16s%2Fg%2F11qsjf5778?authuser=0&hl=id&entry=ttu&g_ep=EgoyMDI2MDYwMS4wIKXMDSoASAFQAw%3D%3D",-8.8951575,116.304228
atraksi dekat Mandalika,Bukit seger sirkuit mandalika,Tujuan Wisata,"
37VW+6W3, Sengkol, Kec. Pujut, Kabupaten Lombok Tengah, Nusa Tenggara Bar. 83573","4,7",440.0,https://www.google.com/maps/place/Bukit+seger+sirkuit+mandalika/data=!4m7!3m6!1s0x2dcd010141bbc6d5:0x37b4417293bdb1a0!8m2!3d-8.9069779!4d116.2972849!16s%2Fg%2F11pdzn9vc2!19sChIJ1ca7QQEBzS0RoLG9k3JBtDc?authuser=0&hl=id&rclk=1,-8.9069779,116.2972849
atraksi dekat Mandalika,Pantai Torok Bare,Tujuan Wisata,"
38R6+X4V, Jl. Beach Walk, Kuta, Kec. Pujut, Kabupaten Lombok Tengah, Nusa Tenggara Bar. 83573","4,2",65.0,https://www.google.com/maps/place/Pantai+Torok+Bare/data=!4m7!3m6!1s0x2dcd0745cb611781:0xb6b7c6c067e5428a!8m2!3d-8.907521!4d116.3102901!16s%2Fg%2F11ddzs5yty!19sChIJgRdhy0UHzS0RikLlZ8DGt7Y?authuser=0&hl=id&rclk=1,-8.907521,116.3102901
atraksi dekat Mandalika,Pantai Seger Kuta Lombok,Tujuan Wisata,"
Kuta, Kec. Pujut, Kabupaten Lombok Tengah, Nusa Tenggara Bar. 83573","4,5",1713.0,https://www.google.com/maps/place/Pantai+Seger+Kuta+Lombok/data=!4m7!3m6!1s0x2dcd07688be32eb3:0x4a2b5a1298bb615b!8m2!3d-8.907198!4d116.2970394!16s%2Fg%2F11cjh_bn9b!19sChIJsy7ji2gHzS0RW2G7mBJaK0o?authuser=0&hl=id&rclk=1,-8.907198,116.2970394
atraksi dekat Mandalika,BATU BERANG BEACH,Tujuan Wisata,"
Serenang, Desa, Mertak, Kec. Pujut, Kabupaten Lombok Tengah, Nusa Tenggara Bar. 83573","3,9",55.0,https://www.google.com/maps/place/BATU+BERANG+BEACH/data=!4m7!3m6!1s0x2dcd01b73fec915d:0xa4a7aa4b6e7a61b7!8m2!3d-8.8974961!4d116.3452859!16s%2Fg%2F11h2pkjs58!19sChIJXZHsP7cBzS0Rt2F6bkuqp6Q?authuser=0&hl=id&rclk=1,-8.8974961,116.3452859
atraksi dekat Mandalika,Bukit Merese,Tujuan Wisata,"
Jl. Kuta Lombok, Kuta, Kec. Pujut, Kabupaten Lombok Tengah, Nusa Tenggara Bar. 83573","4,7",8695.0,https://www.google.com/maps/place/Bukit+Merese/data=!4m7!3m6!1s0x2dcdb3a83b5a599f:0xf8cf6a8d2d088cc!8m2!3d-8.9139299!4d116.3190063!16s%2Fg%2F11c1p92mc8!19sChIJn1laO6izzS0RzIjQ0qj2jA8?authuser=0&hl=id&rclk=1,-8.9139299,116.3190063
atraksi dekat Mandalika,Bukit Seger,Tujuan Wisata,"
37RX+VR3, Jl. beach walk, Kuta, Kec. Pujut, Kabupaten Lombok Tengah, Nusa Tenggara Bar. 83573","4,7",879.0,https://www.google.com/maps/place/Bukit+Seger/data=!4m7!3m6!1s0x2dcd0780b770192d:0x60587e267f3f1e8b!8m2!3d-8.9078631!4d116.299562!16s%2Fg%2F11hdx7q1dm!19sChIJLRlwt4AHzS0Rix4_fyZ-WGA?authuser=0&hl=id&rclk=1,-8.9078631,116.299562
atraksi dekat Mandalika,Taman Wisata Pusuk Sembalun (Tourist Park),Tujuan Wisata,"
HGMQ+W7X, Jl. Wisata Gn. Rinjani, Sembalun Bumbung, Kec. Sembalun, Kabupaten Lombok Timur, Nusa Tenggara Bar. 83656","4,6",1001.0,https://www.google.com/maps/place/Taman+Wisata+Pusuk+Sembalun+%28Tourist+Park%29/data=!4m7!3m6!1s0x2dcc31485c05687f:0x39e62678d75c6c75!8m2!3d-8.4151495!4d116.5382383!16s%2Fg%2F11swlx_wz1!19sChIJf2gFXEgxzC0RdWxc13gm5jk?authuser=0&hl=id&rclk=1,-8.4151495,116.5382383
atraksi dekat Mandalika,Sade Village,Tujuan Wisata,,"4,5",10792.0,https://www.google.com/maps/place/Sade+Village/data=!4m7!3m6!1s0x2dcda9172d983baf:0xfa9eed5a2752a97c!8m2!3d-8.839459!4d116.2926278!16s%2Fg%2F11b86pb7tm!19sChIJrzuYLRepzS0RfKlSJ1rtnvo?authuser=0&hl=id&rclk=1,-8.839459,116.2926278
atraksi dekat Labuan Bajo,Paket Wisata Labuan Bajo - Sunrise Indonesia,Tujuan Wisata,,"4,6",73.0,https://www.google.com/maps/place/Paket+Wisata+Labuan+Bajo+-+Sunrise+Indonesia/data=!4m7!3m6!1s0x2db465a132d7fe81:0x7ed98c06ad586ee9!8m2!3d-8.4868113!4d119.8857285!16s%2Fg%2F11jn2p16db!19sChIJgf7XMqFltC0R6W5YrQaM2X4?authuser=0&hl=id&rclk=1,-8.4868113,119.8857285
