DPP,IATA_Tujuan,Kota_Asal,Maskapai,Status
Danau Toba,DTB,Jakarta,Super Air Jet,Scheduled
Danau Toba,DTB,Jakarta,Citilink,Scheduled
Danau Toba,DTB,Batam,Super Air Jet,Scheduled
Danau Toba,DTB,Jakarta,Super Air Jet,Scheduled
Tanjung Kelayang,TJQ,Jakarta,Sriwijaya Air,Scheduled
Tanjung Kelayang,TJQ,Jakarta,Super Air Jet,Scheduled
Tanjung Kelayang,TJQ,Jakarta,Sriwijaya Air,Scheduled
Tanjung Kelayang,TJQ,Pangkal Pinang,Super Air Jet,Scheduled
Tanjung Kelayang,TJQ,Jakarta,Citilink,Scheduled
Tanjung Kelayang,TJQ,Jakarta,Sriwijaya Air,Scheduled
Tanjung Kelayang,TJQ,Jakarta,Super Air Jet,Scheduled
Tanjung Lesung & Kep. Seribu,CGK,Makassar,Garuda Indonesia (Livin' by Mandiri Livery),Landed 12:24
Tanjung Lesung & Kep. Seribu,CGK,Medan,Garuda Indonesia,Estimated 12:48
Tanjung Lesung & Kep. Seribu,CGK,Semarang,Batik Air,Landed 12:38
Tanjung Lesung & Kep. Seribu,CGK,Kupang,Super Air Jet,Scheduled
Tanjung Lesung & Kep. Seribu,CGK,Denpasar,AirAsia,Landed 12:29
Tanjung Lesung & Kep. Seribu,CGK,Denpasar,Garuda Indonesia,Estimated 12:45
Tanjung Lesung & Kep. Seribu,CGK,Yogyakarta,Batik Air,Estimated 12:53
Tanjung Lesung & Kep. Seribu,CGK,Balikpapan,Super Air Jet,Scheduled
Tanjung Lesung & Kep. Seribu,CGK,Surabaya,Citilink,Estimated 12:43
Tanjung Lesung & Kep. Seribu,CGK,Surakarta,Citilink,Estimated 12:48
Tanjung Lesung & Kep. Seribu,CGK,Muscat,Oman Air,Landed 12:25
Tanjung Lesung & Kep. Seribu,CGK,Denpasar,Lion Air,Estimated 12:56
Tanjung Lesung & Kep. Seribu,CGK,Kuala Lumpur,Batik Air,Scheduled
Tanjung Lesung & Kep. Seribu,CGK,Balikpapan,Citilink,Landed 12:40
Tanjung Lesung & Kep. Seribu,CGK,Ho Chi Minh City,Vietnam Airlines,Estimated 12:50
Tanjung Lesung & Kep. Seribu,CGK,Bandar Lampung,Lion Air,Scheduled
Tanjung Lesung & Kep. Seribu,CGK,Hong Kong,Cathay Pacific,Estimated 12:44
Tanjung Lesung & Kep. Seribu,CGK,Surabaya,Garuda Indonesia (Livin' by Mandiri Livery),Estimated 12:50
Tanjung Lesung & Kep. Seribu,CGK,Lombok,Citilink,Estimated 12:53
Tanjung Lesung & Kep. Seribu,CGK,Jambi,Sriwijaya Air,Scheduled
Tanjung Lesung & Kep. Seribu,CGK,Sorong,Batik Air,Estimated 12:55
Tanjung Lesung & Kep. Seribu,CGK,Pontianak,Lion Air,Scheduled
Tanjung Lesung & Kep. Seribu,CGK,Malang,Citilink,Estimated 13:17
Tanjung Lesung & Kep. Seribu,CGK,Taipei,EVA Air,Estimated 13:02
Tanjung Lesung & Kep. Seribu,CGK,Bengkulu,Super Air Jet,Estimated 13:00
Tanjung Lesung & Kep. Seribu,CGK,Banjarmasin,Citilink Garuda Indonesia,Scheduled
Tanjung Lesung & Kep. Seribu,CGK,Singapore,Garuda Indonesia (Retro 1960 Livery),Estimated 13:09
Tanjung Lesung & Kep. Seribu,CGK,Hong Kong,Garuda Indonesia,Estimated 13:13
Tanjung Lesung & Kep. Seribu,CGK,Bandar Lampung,Batik Air,Estimated 13:06
Tanjung Lesung & Kep. Seribu,CGK,Tanjung Pinang,Batik Air,Estimated 13:11
Tanjung Lesung & Kep. Seribu,CGK,Semarang,Batik Air,Estimated 13:13
Tanjung Lesung & Kep. Seribu,CGK,Balikpapan,Pelita Air,Estimated 13:08
Tanjung Lesung & Kep. Seribu,CGK,Jambi,Super Air Jet,Estimated 13:21
Tanjung Lesung & Kep. Seribu,CGK,Medan,Lion Air,Scheduled
Tanjung Lesung & Kep. Seribu,CGK,Pangkal Pinang,Citilink,Estimated 13:28
Tanjung Lesung & Kep. Seribu,CGK,Makassar,Sriwijaya Air,Scheduled
Tanjung Lesung & Kep. Seribu,CGK,Makassar,Sriwijaya Air,Scheduled
Tanjung Lesung & Kep. Seribu,CGK,Singapore,Singapore Airlines,Estimated 13:17
Tanjung Lesung & Kep. Seribu,CGK,Bandar Lampung,Batik Air,Scheduled
Tanjung Lesung & Kep. Seribu,CGK,Samarinda,Garuda Indonesia,Estimated 13:10
Tanjung Lesung & Kep. Seribu,CGK,Makassar,Batik Air,Estimated 13:28
Tanjung Lesung & Kep. Seribu,CGK,Sampit,Nam Air,Scheduled
Tanjung Lesung & Kep. Seribu,CGK,Singapore,Scoot,Estimated 13:09
Tanjung Lesung & Kep. Seribu,CGK,Makassar,Batik Air,Scheduled
Tanjung Lesung & Kep. Seribu,CGK,Taipei,China Airlines,Estimated 13:28
Tanjung Lesung & Kep. Seribu,CGK,Kupang,Garuda Indonesia,Estimated 13:13
Tanjung Lesung & Kep. Seribu,CGK,Singapore,Batik Air,Estimated 13:17
Tanjung Lesung & Kep. Seribu,CGK,Palembang,Garuda Indonesia,Scheduled
Tanjung Lesung & Kep. Seribu,CGK,Pangkal Pinang,Garuda Indonesia,Scheduled
Tanjung Lesung & Kep. Seribu,CGK,Ambon,Batik Air,Estimated 13:34
Tanjung Lesung & Kep. Seribu,CGK,Denpasar,Pelita Air,Estimated 13:24
Tanjung Lesung & Kep. Seribu,CGK,Palembang,Super Air Jet,Scheduled
Tanjung Lesung & Kep. Seribu,CGK,Bengkulu,Citilink,Estimated 13:38
Tanjung Lesung & Kep. Seribu,CGK,Medan,Citilink,Estimated 13:24
Tanjung Lesung & Kep. Seribu,CGK,Balikpapan,Garuda Indonesia,Estimated 13:38
Tanjung Lesung & Kep. Seribu,CGK,Denpasar,Garuda Indonesia (Ayo Pakai Masker Livery),Delayed 14:15
Tanjung Lesung & Kep. Seribu,CGK,Padang,Garuda Indonesia (From Nature to Future Livery),Estimated 13:51
Tanjung Lesung & Kep. Seribu,CGK,Batam,Garuda Indonesia,Estimated 13:30
Tanjung Lesung & Kep. Seribu,CGK,Denpasar,Batik Air,Estimated 13:56
Tanjung Lesung & Kep. Seribu,CGK,Balikpapan,Super Air Jet,Estimated 13:51
Tanjung Lesung & Kep. Seribu,CGK,Kuala Lumpur,Garuda Indonesia,Estimated 13:43
Tanjung Lesung & Kep. Seribu,CGK,Pontianak,Lion Air,Estimated 13:45
Tanjung Lesung & Kep. Seribu,CGK,Jeddah,Garuda Indonesia (Republic of Indonesia Livery),Delayed 14:42
Tanjung Lesung & Kep. Seribu,CGK,Banda Aceh,Garuda Indonesia,Canceled
Tanjung Lesung & Kep. Seribu,CGK,Kediri,Super Air Jet,Estimated 13:34
Tanjung Lesung & Kep. Seribu,CGK,Banjarmasin,Super Air Jet,Scheduled
Tanjung Lesung & Kep. Seribu,CGK,Semarang,Garuda Indonesia,Scheduled
Tanjung Lesung & Kep. Seribu,CGK,Samarinda,Batik Air,Estimated 13:56
Tanjung Lesung & Kep. Seribu,CGK,Lombok,Batik Air,Canceled
Tanjung Lesung & Kep. Seribu,CGK,Denpasar,Lion Air,Scheduled
Tanjung Lesung & Kep. Seribu,CGK,Tanjung Pandan,Citilink,Scheduled
Tanjung Lesung & Kep. Seribu,CGK,Kuala Lumpur,Batik Air,Estimated 13:51
Tanjung Lesung & Kep. Seribu,CGK,Surabaya,Citilink,Scheduled
Tanjung Lesung & Kep. Seribu,CGK,Batam,Batik Air,Scheduled
Tanjung Lesung & Kep. Seribu,CGK,Balikpapan,Citilink,Estimated 14:00
Tanjung Lesung & Kep. Seribu,CGK,Hong Kong,Cathay Cargo,Delayed 15:27
Tanjung Lesung & Kep. Seribu,CGK,Denpasar,Garuda Indonesia,Scheduled
Tanjung Lesung & Kep. Seribu,CGK,Medan,Lion Air,Scheduled
Tanjung Lesung & Kep. Seribu,CGK,Yogyakarta,TransNusa,Scheduled
Tanjung Lesung & Kep. Seribu,CGK,Kuala Lumpur,AirAsia,Estimated 14:15
Tanjung Lesung & Kep. Seribu,CGK,Bandar Lampung,Lion Air,Scheduled
