Bandara_Tujuan,Kota_Asal,Maskapai,Status
LOP,Waingapu,Wings Air,Scheduled
LOP,Jakarta,Garuda Indonesia,Estimated 13:58
LOP,Jakarta,Batik Air,Estimated 13:40
LOP,Labuan Bajo,Wings Air,Estimated 13:47
LOP,Bima,Wings Air,Scheduled
LOP,Sumbawa Besar,Wings Air,Scheduled
LOP,Blimbingsari,Wings Air,Scheduled
LOP,Makassar,Lion Air,Scheduled
LOP,Bima,Wings Air,Scheduled
LOP,Jakarta,Pelita Air,Scheduled
LOP,Surabaya,Super Air Jet,Scheduled
LOP,Jakarta,Super Air Jet,Scheduled
LOP,Denpasar,Wings Air,Scheduled
LOP,Denpasar,TransNusa,Scheduled
LOP,Jakarta,Citilink,Scheduled
LOP,Denpasar,Wings Air,Scheduled
LOP,Jakarta,TransNusa,Scheduled
LOP,Singapore,Scoot,Scheduled
LOP,Denpasar,TransNusa,Scheduled
LOP,Surabaya,Super Air Jet,Scheduled
LOP,Jakarta,Super Air Jet,Scheduled
LOP,Yogyakarta,Super Air Jet,Scheduled
LOP,Denpasar,TransNusa,Scheduled
LOP,Jakarta,TransNusa,Scheduled
LOP,Bima,Wings Air,Scheduled
LOP,Surabaya,Super Air Jet,Scheduled
LOP,Surabaya,Citilink,Canceled
LOP,Jakarta,Lion Air,Scheduled
LOP,Denpasar,Wings Air,Scheduled
LOP,Singapore,Scoot,Scheduled
LOP,Surabaya,Super Air Jet,Scheduled
LOP,Waingapu,Wings Air,Scheduled
LOP,Denpasar,Wings Air,Scheduled
LOP,Jakarta,Super Air Jet,Scheduled
LOP,Denpasar,Wings Air,Scheduled
LOP,Jakarta,Garuda Indonesia,Scheduled
LOP,Labuan Bajo,Wings Air,Scheduled
LOP,Surabaya,Lion Air,Scheduled
LOP,Sumbawa Besar,Wings Air,Scheduled
LOP,Surabaya,Citilink,Scheduled
LOP,Kuala Lumpur,Batik Air Malaysia,Scheduled
LOP,Jakarta,Citilink,Scheduled
LOP,Denpasar,Wings Air,Scheduled
LOP,Kuala Lumpur,AirAsia,Scheduled
LOP,Jakarta,Batik Air,Scheduled
LOP,Denpasar,Wings Air,Scheduled
LOP,Denpasar,Wings Air,Scheduled
LOP,Denpasar,TransNusa,Scheduled
LOP,Waingapu,Wings Air,Scheduled
LOP,Jakarta,Garuda Indonesia,Scheduled
LOP,Jakarta,Batik Air,Scheduled
LOP,Labuan Bajo,Wings Air,Scheduled
LOP,Bima,Wings Air,Scheduled
LOP,Sumbawa Besar,Wings Air,Scheduled
LOP,Bima,Wings Air,Scheduled
LOP,Balikpapan,Super Air Jet,Scheduled
LOP,Jakarta,Super Air Jet,Scheduled
LOP,Denpasar,TransNusa,Scheduled
LOP,Jakarta,Citilink,Scheduled
LOP,Denpasar,Wings Air,Scheduled
LOP,Jakarta,TransNusa,Scheduled
LOP,Denpasar,TransNusa,Scheduled
LOP,Surabaya,Super Air Jet,Scheduled
LOP,Jakarta,Super Air Jet,Scheduled
LOP,Yogyakarta,Super Air Jet,Scheduled
