Nama_Penginapan,Latitude,Longitude,Kategori
Segara anak,-8.8934568,116.2831456,hotel
Sekar Kuning,-8.8937006,116.2838644,hotel
Anda Bungalows,-8.8937642,116.2841112,hotel
Puri Rinjani,-8.8939232,116.2847013,hotel
Kuta bay homestay,-8.8915535,116.2769657,hostel
Hey hey homestay,-8.8921743,116.2776739,hostel
Surfers Beachfront,-8.8932634,116.2826869,hostel
Together homestay,-8.8901489,116.2798019,hostel
Gday inn,-8.8906793,116.2782958,hostel
Mandalika homestay,-8.8922061,116.2810428,hostel
Melon homestay,-8.8919852,116.2810584,hostel
Lamancha Homestay,-8.8908599,116.2812037,guest_house
Srikandi homestay,-8.8906479,116.2812252,hostel
Birru Inn,-8.8947818,116.2883276,guest_house
Kuta paradise,-8.8952643,116.2897786,hotel
Ketapang homestay,-8.8925876,116.2809998,hostel
Yuli's Homestay,-8.8874403,116.2744954,hostel
Kelapa cafe and homestay,-8.891373,116.2755683,hostel
family house and restaurant,-8.8909861,116.2764096,hotel
Heavenly Homestay,-8.887088,116.2750206,hotel
puri itoma,-8.8905249,116.2767373,hostel
Hotel SMK 1 Praya,-8.7162856,116.2885129,hotel
"Rumah Keluarga Bpk Sapi'i, S.Pd",-8.5781716,116.3454017,guest_house
G'day Inn Budget Room,-8.8912601,116.2767436,hotel
Grand Royal BIL Hotel,-8.7399941,116.246089,hotel
Indonesian Backpacker,-8.8893689,116.2759365,guest_house
Relaxing Homestay,-8.8887474,116.2857366,hostel
Banyu Urip Homestay,-8.8907994,116.2773034,guest_house
Same Same Bungalows,-8.8911119,116.2759053,hotel
Heavenly,-8.8874643,116.2747878,hotel
Kuta Lombok Homestay,-8.8926508,116.280455,guest_house
Mimpi Manis Homestay,-8.8754049,116.2772651,guest_house
Same Same - Bungalows,-8.8910328,116.2738436,guest_house
Z Max Hotel,-8.7615732,116.2588865,hotel
Villa Bau Nyale,-8.886525,116.2741917,hotel
Lara Homestay,-8.8895274,116.2780276,guest_house
Bombora Bungalows,-8.8909025,116.2814172,hotel
Roby,-8.8917395,116.2921407,guest_house
Join Homestay,-8.8877376,116.2840953,guest_house
Kuta Circle Homestay,-8.8875607,116.2834778,guest_house
Dream Cowork Hotel,-8.8918968,116.2811335,hotel
Roy Homestay,-8.8912977,116.2918913,guest_house
Pipes Hostel,-8.8779612,116.2760786,hostel
Palm Green,-8.8865798,116.2708439,guest_house
G'R Homestay,-8.8912196,116.2811488,guest_house
Casa Mango,-8.885371,116.2814545,guest_house
Qurnia Homestay,-8.8889814,116.287303,guest_house
Casa D'Rico,-8.8937574,116.2836627,guest_house
T&T Homestay,-8.891674,116.2898736,guest_house
Mimi Homestay,-8.8904044,116.2779409,hostel
Batu Bambu,-8.8703255,116.284458,guest_house
Drop In Surf Lodge & Cafe,-8.8997904,116.3101331,hotel
Mana yoga retreat,-8.8873681,116.2724094,guest_house
Botchan,-8.8833516,116.2735233,hostel
JM Hotel,-8.8896521,116.2795053,hotel
Dee Homestay,-8.8832751,116.2770316,guest_house
Zury Homestay,-8.8827977,116.2769169,guest_house
Cewin's Homestay,-8.8871493,116.2779629,guest_house
Drop In Surf Lodge,-8.8994053,116.3110164,guest_house
Kawi homestay,-8.7576354,116.2290265,guest_house
Ari anggara,-8.8108742,116.2896609,guest_house
Nunung,-8.6962384,116.2721349,guest_house
Syukron Habibi..,-8.7138278,116.2686789,guest_house
Sasak Lombok Bungalow,-8.8926901,116.2919824,guest_house
Dewi Guesthouse,-8.8913746,116.2764537,guest_house
Homestay Melsi,-8.8840744,116.2705925,hostel
Bukit Indah Boutique Accomodation,-8.873534,116.1701318,hotel
Zifa Kuta Lombok,-8.8896445,116.2772061,hotel
Sawe Homestay,-8.8851756,116.2774262,guest_house
Mar Bella,-8.8945606,116.2880801,hotel
Kuta Cabana Eco Lodge,-8.8926697,116.2962528,hotel
S Hotel,-8.8915446,116.2738771,hotel
Mawun Mud Village,-8.8929221,116.2174234,hotel
Blue Monkey Villa,-8.9032217,116.2386739,hotel
Boogie,-8.8849718,116.2760519,hostel
