destinasi_prioritas;title;totalScore;reviewsCount;street;city;state;countryCode;website;categoryName
Mandalika;Pantai Kuta Lombok;4.5;11751;;Kabupaten Lombok Tengah;Nusa Tenggara Bar.;ID;http://www.lombokgreenature.com/;Pantai
Mandalika;Pantai Tanjung Aan;4.6;1894;Desa Pengembur;Kabupaten Lombok Tengah;Nusa Tenggara Bar.;ID;;Pantai
Labuan Bajo;Pulau Padar;4.9;1822;;Kabupaten Manggarai Barat;Nusa Tenggara Tim.;ID;;Pulau
Labuan Bajo;Pantai Merah;4.7;1686;;;Nusa Tenggara Tim.;ID;http://www.afdhalilahi.com/2016/10/pantai-pink-pulau-komodo.html;Pantai
Labuan Bajo;Pulau Komodo;4.4;968;;Kabupaten Manggarai Barat;Nusa Tenggara Tim.;ID;http://www.komodonationalpark.org/;Pulau
Likupang;Towade Lehaga;4.8;17;;;;ID;;Pulau
Likupang;Pantai Pulisan;4.6;93;;Kabupaten Minahasa Utara;Sulawesi Utara;ID;;Pantai
Danau Toba;Pulau Samosir;4.6;1655;;Kabupaten Samosir;Sumatera Utara;ID;;Pulau
Mandalika;Bukit Merese;4.7;8691;Jl. Kuta Lombok;Kabupaten Lombok Tengah;Nusa Tenggara Bar.;ID;http://www.mymandalika.com/;Tujuan Wisata
Borobudur;Candi Borobudur;4.7;103492;Jl. Badrawati;Kabupaten Magelang;Jawa Tengah;ID;https://borobudur.injourneydestination.id/;Tujuan Wisata
Borobudur;Svargabumi Borobudur;4.8;10060;Jl. Borobudur - Ngadiharjo;Kabupaten Magelang;Jawa Tengah;ID;http://www.svargabumi.com/;Pusat Rekreasi
Borobudur;Punthuk Setumbu;4.6;9230;;Kabupaten Magelang;Jawa Tengah;ID;;Titik Pemandangan
Likupang;Pantai Paal;4.6;2277;;Kabupaten Minahasa Utara;Sulawesi Utara;ID;;Pantai
Bangka Belitung;Pantai Tanjung Kelayang;4.6;4393;;;;ID;;Pantai
Bangka Belitung;"Lengkuas "" Old Light House "" Island";4.8;1403;FJ7C+55G;Kabupaten Belitung;Kepulauan Bangka Belitung;ID;;Tujuan Wisata
Gunung Bromo;Penanjakan Bromo;4.8;8387;;Pasuruan;Jawa Timur;ID;;Area Mendaki
Wakatobi;Wakatobi Dive Resort;4.6;274;Desa;Kabupaten Wakatobi;Sulawesi Tenggara;ID;https://www.wakatobi.com/;Hotel Resor
Danau Toba;Bukit Holbung Samosir;4.7;3244;Jl. Sisingamangaraja;Kabupaten Samosir;Sumatera Utara;ID;http://www.pesonahariarapohan.com/;Tujuan Wisata
Gunung Bromo;SEWA JEEP BROMO dari PASURUAN;5;88;;;;;;Agen Sewa Mobil
Gunung Bromo;Kawah Gunung Bromo;4.7;719;3X63+65P;Kabupaten Lumajang;Jawa Timur;ID;;Tujuan Wisata
Raja Ampat;Pulau Wajag;4.8;161;;Kabupaten Raja Ampat;Papua Barat Daya;ID;;Pulau
Danau Toba;Menara Pandang Tele;4.5;4749;Tele Desa Partungkotnaginjang;Kabupaten Samosir;Sumatera Utara;ID;;Titik Pemandangan
Raja Ampat;Arborek;;;;Kabupaten Raja Ampat;Papua Barat Daya;ID;;
Morotai;Pantai Gorango;4.5;65;FMXC+8F8;Kabupaten Pulau Morotai;Maluku Utara;ID;;Tujuan Wisata
Morotai;Dodola Seaport and Beach;4.7;212;35MV+RQP;Kabupaten Pulau Morotai;Maluku Utara;ID;;Tujuan Wisata
Morotai;Zum-Zum Mc Arthur Island;4.1;55;3744+8FW Pulau Zum Zum;Kabupaten Pulau Morotai;Maluku Utara;ID;;Tujuan Wisata
Bangka Belitung;Pantai Tj. Tinggi;4.7;4623;;;Kepulauan Bangka Belitung;ID;http://disparekraf.belitungkab.go.id/;Pantai
Wakatobi;Pulau Hoga;4.7;51;;Kabupaten Wakatobi;Sulawesi Tenggara;ID;;Pulau
Raja Ampat;Piaynemo Raja Ampat;4.9;2260;Groot Fam Saukabu Kepulauan;Kabupaten Raja Ampat;Papua Barat;ID;;Tujuan Wisata
