DPP,Demand_Index,Supply_Index,Gap_Score,Gap_Status
Tanjung Kelayang,54.7619047619048,14.23347701149425,40.52842775041055,Under-Supply (Kekurangan Fasilitas)
Raja Ampat,66.66666666666666,56.140757365924166,10.52590930074249,Under-Supply (Kekurangan Fasilitas)
Wakatobi,49.96295466770415,40.98807482215989,8.974879845544265,Under-Supply (Kekurangan Fasilitas)
Bromo,61.81313603902683,58.13644234593077,3.676693693096056,Under-Supply (Kekurangan Fasilitas)
Likupang,50.06706869417602,63.05020928325354,-12.983140589077514,Over-Supply (Kelebihan Kapasitas)
Labuan Bajo,62.1666929157405,78.27823570341761,-16.11154278767711,Over-Supply (Kelebihan Kapasitas)
Borobudur,50.68790595314457,67.95095963422722,-17.263053681082646,Over-Supply (Kelebihan Kapasitas)
Morotai,16.879582695383792,34.88489402038087,-18.005311324997077,Over-Supply (Kelebihan Kapasitas)
Danau Toba,35.99227974779309,54.3160200623535,-18.32374031456041,Over-Supply (Kelebihan Kapasitas)
Mandalika,29.141189134058404,63.10702463953397,-33.96583550547557,Over-Supply (Kelebihan Kapasitas)
