DPP,Demand_Score,Supply_Score,Gap_Analysis,Cluster_K3
Bromo,0.9999999999999999,0.09909059908942597,0.9009094009105739,0
Tanjung Kelayang,0.6674087967474011,0.008481000830534935,0.6589277959168661,0
Wakatobi,0.6368474062874893,0.0,0.6368474062874893,0
Raja Ampat,0.8964820434122055,0.7025304861955537,0.1939515572166518,1
Danau Toba,0.8584839905104368,0.6921094717933147,0.16637451871712206,1
Borobudur,0.8262137139794373,0.7458074739392047,0.08040624004023267,1
Mandalika,0.5601807758644143,0.6648721484914268,-0.10469137262701256,1
Labuan Bajo,0.8731226797633226,0.9999999999999998,-0.1268773202366772,1
Likupang,0.6557250557863811,0.9259750865105849,-0.27025003072420384,1
Morotai,0.0,0.5416735822920988,-0.5416735822920988,2
