destination,hotel_name,rating,review_count,price,distance
mandalika,Pullman Lombok Merujani Mandalika Beach Resort,4.8,"1,980",Rp 1.981.000,"1,1 km away"
mandalika,Novotel Lombok Resort and Villas,4.5,"3,815",Rp 1.161.600,"1,1 km away"
mandalika,New Bintang Mandalika,4.7,90,Rp 347.727,920 m away
mandalika,Truntum Boutique Mandalika Hotel & Restaurant,4.8,291,Rp 799.280,"1,5 km away"
mandalika,Origin Lombok,4.5,"1,416",Rp 1.085.889,910 m away
mandalika,Hotel Kuta Paradise,4.4,267,Rp 318.816,"1,6 km away"
mandalika,Ocean View Villas,3.4,67,Rp 358.656,"1,7 km away"
mandalika,Sky Mountain View,3.9,61,Rp 757.350,2 km away
mandalika,Kuta Cabana Lodge,,,Rp 352.392,920 m away
mandalika,Turtle House Lombok,4.7,56,Rp 301.385,930 m away
mandalika,Batatu Resort,4.7,449,Rp 1.400.774,810 m away
mandalika,Florida Hotel Kuta Mandalika,4.3,16,Rp 409.091,940 m away
mandalika,Birru Inn & Cafe,4.2,200,Rp 340.200,"1,7 km away"
mandalika,BALE LANGGAK COTTAGES,4.8,17,Rp 204.546,"1,1 km away"
mandalika,Villa Mandalika Lombok,4.4,39,Rp 1.253.943,820 m away
mandalika,TT Homestay - Double Room,3.9,61,Rp 182.012,"1,6 km away"
mandalika,Metis Eco Lodge,4.3,176,Rp 309.091,920 m away
mandalika,ANDRE HOME STAY,4.1,17,Rp 218.182,540 m away
mandalika,VILLA VALITO,4.9,92,Rp 1.458.000,"1,5 km away"
mandalika,sunshine Homestay - Standard Double Room,,,Rp 250.379,630 m away
mandalika,Mar Bella Beachfront,4.4,36,Rp 726.750,"1,8 km away"
mandalika,Waru Homestay,4.3,16,Rp 171.818,"1,3 km away"
mandalika,Villa Teraum,4.9,51,Rp 1.279.886,"1,7 km away"
mandalika,Fullmoon homestay,4.6,36,Rp 213.818,950 m away
mandalika,Khadijah Homestay - Deluxe Room (2 Adults + 1 Child),3.0,4,Rp 149.261,"1,4 km away"
mandalika,Palm Homestay,3.8,22,Rp 109.091,"1,4 km away"
mandalika,JEEVA Mandalika Villas,4.6,18,Rp 4.000.000,"1,5 km away"
mandalika,Bamboo Lombok Homestay,4.8,26,Rp 131.100,"1,4 km away"
mandalika,PAN Homestay,4.9,25,Rp 294.546,"1,2 km away"
mandalika,TT Homestay - Standard Double Room,5.0,8,Rp 182.012,"1,6 km away"
mandalika,Sulis homestay Mandalika,4.7,39,Rp 220.909,1 km away
mandalika,Kuta Mountain Bungalows,4.7,28,Rp 308.365,"1,4 km away"
mandalika,The luxe villas lombok,4.8,37,Rp 972.001,"1,1 km away"
mandalika,Nanda Homestay,4.5,70,Rp 135.000,"1,4 km away"
mandalika,Ilham homestay,4.8,46,Rp 227.273,"1,2 km away"
mandalika,Putri Nyale Bungalows & Rooms,4.3,38,Rp 136.364,"1,3 km away"
mandalika,Perwita Homestay - Double Room with Garden View,5.0,8,Rp 141.565,"1,4 km away"
mandalika,Perwita homestay,4.2,58,Rp 118.182,"1,4 km away"
mandalika,The kind Homestay,4.6,21,Rp 431.818,890 m away
mandalika,THe Kind Homestay - Double Room with Terrace,5.0,8,Rp 480.534,870 m away
mandalika,Jati Homestay Lombok - Budget Double Room,,,Rp 384.249,"1,2 km away"
mandalika,Diki Bungalows - Superior Bungalow,,,Rp 302.996,"1,3 km away"
mandalika,Batatu Resort - Adults Only - One-Bedroom Deluxe Villa with Private Pool,4.4,8,Rp 1.832.831,780 m away
mandalika,DONI homestay,5.0,22,Rp 231.818,"1,2 km away"
mandalika,Azka Homestay,3.9,66,Rp 163.636,"1,1 km away"
mandalika,Roby Home Stay,4.3,73,Rp 173.380,"1,4 km away"
mandalika,DONI Homestay - Double Room,,,Rp 255.390,"1,2 km away"
mandalika,Roy Homestay,4.1,122,Rp 127.273,"1,4 km away"
mandalika,Roby Homestay - Superior Double Room,4.8,5,Rp 189.171,"1,4 km away"
mandalika,Nadil Homestay,4.5,34,Rp 163.636,"1,4 km away"
mandalika,Breeze Hostel,4.4,69,Rp 168.800,"1,4 km away"
mandalika,GANI HOMESTAY,3.5,24,Rp 245.455,"1,3 km away"
mandalika,Marsha Homestay,4.9,22,Rp 318.182,980 m away
mandalika,Ramdan Homestay,4.0,37,Rp 227.273,"1,3 km away"
mandalika,Teman Homestay,4.7,19,Rp 350.000,990 m away
mandalika,PINK GUEST HOUSE,5.0,2,Rp 204.546,"1,4 km away"
mandalika,Kampung Homestay,4.4,9,Rp 213.636,"1,5 km away"
mandalika,Tide and Tribe hostel,5.0,14,Rp 236.364,"1,6 km away"
mandalika,Defa Homestay,4.4,54,Rp 247.686,"1,3 km away"
mandalika,Sisca Homestay,5.0,1,Rp 259.091,"1,1 km away"
mandalika,Gani Homestay - Superior Double Room,5.0,8,Rp 273.108,"1,3 km away"
mandalika,Zahra Bungalows - Double Room with Garden View,,,Rp 473.375,"1,1 km away"
mandalika,The luxe villas lombok - One-Bedroom Villa,5.0,8,Rp 730.734,"1,1 km away"
mandalika,Teman Homestay - Double Room,,,Rp 354.003,980 m away
mandalika,Romantic Homestay,,,Rp 140.670,"1,3 km away"
mandalika,JATI Homestay Lombok,4.9,13,Rp 345.455,"1,2 km away"
mandalika,Maeza Homestay,5.0,5,Rp 357.955,1 km away
mandalika,The Habitat Villas and Hotel,4.9,58,,"1,4 km away"
mandalika,NOVA HOMESTAY,,,Rp 130.909,"1,5 km away"
mandalika,Honey house,,,Rp 384.546,880 m away
mandalika,Villa Alasa,4.6,96,,"1,5 km away"
mandalika,Home Pood Mandalika,4.0,4,,"1,3 km away"
mandalika,T&T HOMESTAY & Luggage Storage,4.1,82,Rp 163.636,"1,6 km away"
mandalika,Sasak Lombok Bungalow,4.0,109,,"1,4 km away"
mandalika,VILLA SEGER,4.9,44,,"1,4 km away"
mandalika,The GARE'S VILLA MANDALIKA,5.0,4,,"1,1 km away"
mandalika,Diki Bungalow,4.4,38,,"1,3 km away"
mandalika,Fabulous Place Lombok,5.0,5,,"1,7 km away"
mandalika,Raya Homestay,4.5,14,,1 km away
mandalika,Sakila homestay,4.6,9,,1 km away
mandalika,La Docta Lombok - 1BR Modern Villa Near Mandalika Circuit & 7 Min to Tanjung Aan Beach,4.5,1,Rp 695.455,"1,1 km away"
mandalika,Sulis homestay - Double Room,5.0,8,Rp 245.905,1.000 m away
mandalika,The Luxe Villas Lombok,4.2,10,Rp 974.133,"1,1 km away"
mandalika,Azka Homestay - Standard Double Room with Fan,5.0,8,Rp 313.555,"1,1 km away"
mandalika,Junior Suite 1 - VILLA VALITO\n,,,Rp 1.700.214,"1,5 km away"
mandalika,Ladiva Shore Hotel & Restaurant,4.3,36,,"1,8 km away"
mandalika,Drop In Surfcamp & Lodge,4.7,142,,"1,6 km away"
mandalika,Cocoon Hut,3.0,2,,"1,7 km away"
mandalika,Local Room Mandalika Lombok,,,,"1,1 km away"
mandalika,Ramay Homestay,3.4,31,,"1,5 km away"
mandalika,D'BALE OYAAN,4.2,16,,810 m away
mandalika,Two One Homestay,5.0,15,,"1,5 km away"
mandalika,Surf & Yoga Retreats Lombok II All Inclusive Surf Camp & Yoga Retreat,4.9,202,,"1,7 km away"
mandalika,Pink swing homestay,4.1,7,,"1,1 km away"
mandalika,CENA Homestay,5.0,23,,"1,8 km away"
mandalika,Gania Guest house,4.6,10,,"1,1 km away"
mandalika,Diyah Homestay,4.4,117,,"1,4 km away"
mandalika,OYO 93729 Radesa Family Homestay,2.8,16,,900 m away
mandalika,Qurnia Homestay,4.3,47,,2 km away
mandalika,Bulan Biru Kuta,5.0,22,,"1,7 km away"
mandalika,HOMESTAY SRY AYU,5.0,1,,900 m away
mandalika,RASTI 2 HOMESTAY,4.1,83,,2 km away
mandalika,Penginapan Dewi Hotel Kuta Mandalika Lombok,3.5,10,,"1,5 km away"
mandalika,Eco Mr. Lamun,4.5,18,,1.000 m away
mandalika,ADELYA HOMESTAY,3.5,8,,"1,4 km away"
mandalika,Telage Indah Guest House,3.8,10,,1 km away
mandalika,Bebelove Homestay,4.5,4,,"1,3 km away"
mandalika,Maria Homestay,4.0,7,,"1,1 km away"
mandalika,Villa Make Life Beautiful,,,,"1,4 km away"
mandalika,Ayana Homestay Kuta,5.0,2,,780 m away
mandalika,Gading Local Room,,,,"1,1 km away"
mandalika,Rara Guest House,5.0,1,,"1,2 km away"
mandalika,Villa Mango Kuta Lombok,2.5,2,Rp 2.454.546,990 m away
mandalika,Sry Ayu Bale Tani Local Room - Double Room,,,,900 m away
mandalika,Ocean View Villas Kuta Mandalika,,,,"1,7 km away"
mandalika,"Kuta Mansion 1 - Best Deal in town, 2bedroom, Full AC, Kuta, Lombok",5.0,3,,780 m away
mandalika,COVE VILLAS Mandalika,,,,"1,4 km away"
mandalika,Gadek Bale Tani Local Room - Double Room,,,,750 m away
mandalika,Kintsugi Private Villa Mandalika - Two-Bedroom Villa,4.2,27,,"1,6 km away"
mandalika,Kuta Cabana Eco Lodge,4.4,1,,830 m away
mandalika,Gania Bale Tani Local Room - Double Room,,,,"1,1 km away"
mandalika,Cena Homestay - Double Room with Mountain View,,,,"1,8 km away"
mandalika,Lightstars Monkey Villa Mandalika - Deluxe Villa,,,,990 m away
mandalika,"Villa Bliss - Villa, 4 Bedrooms",5.0,8,,"1,6 km away"
mandalika,Rasti 2 homestay - Standard Double Room,5.0,16,,2 km away
mandalika,Kuta Mountain Bungalows - Bungalow,,,,"1,4 km away"
mandalika,Zakyla Homestay - Double Room,,,,"1,1 km away"
mandalika,Telage Indah Homestay - Standard Double Room,4.5,8,,"1,1 km away"
mandalika,Villa Bintang Mandalika,,,,920 m away
mandalika,COVE VILLAS LoMboK - Two-Bedroom Villa,,,,"1,4 km away"
mandalika,Jeeva Mandalika - Two-Bedroom Villa,4.7,3,,"1,5 km away"
mandalika,Charming 2Bedroom villa with Pool,,,,"1,4 km away"
mandalika,Villa Mandalika Lombok - Suite,5.0,16,,860 m away
mandalika,Rara Bale Tani Local Room - Double Room,,,,"1,2 km away"
mandalika,The Habitat Lombok - Two-Bedroom Villa,5.0,8,,"1,5 km away"
mandalika,Bale Baleku Homestay - Budget Double Room,4.4,6,,"1,8 km away"
mandalika,Villa Ayu Lombok,4.6,4,,"1,4 km away"
mandalika,Waru Homestay - Double Room,3.4,4,,"1,3 km away"
mandalika,Kiora 1 BR Superior Double Or Twin Room,,,,1 km away
mandalika,Luxury Villa Ocean View Sunset View Mandalika Circuit View - Villa,,,,"1,4 km away"
mandalika,Splendide appartement.,,,,"1,4 km away"
mandalika,Stouffer The Mandalika Resort,,,,"1,4 km away"
mandalika,Villa Mandalika - Presidential Suite,5.0,3,,860 m away
mandalika,Welcome to Our Bungalows In Kuta LR 12,,,,"1,6 km away"
mandalika,Homestay Saptia Dewi - Double Room with Private Bathroom,,,,750 m away
mandalika,Anaya Cozy 1 BR Bungalow With Bathtub,,,,820 m away
mandalika,Kusuma Homestay,,,,900 m away
mandalika,Lightstar Modern Villa Mandalika,5.0,1,,940 m away
mandalika,Nimra 1 BR Deluxe King Or Twin Room With Balcony,,,,950 m away
mandalika,Kuta HomePod,3.9,7,,"1,3 km away"
mandalika,Bale Langgak Cottage - One-Bedroom Apartment,,,,"1,1 km away"
mandalika,Luxury Ocean View Villas with Private Cook and Free Gym Membership - Two-Bedroom Villa,5.0,8,,"1,6 km away"
mandalika,Roy Homestay - Standard Double Room,5.0,8,,"1,4 km away"
mandalika,ADELYA HOMESTAY - Standard Double Room with Fan,4.9,8,,"1,4 km away"
mandalika,Two One Homestay - Double Room,,,,"1,5 km away"
mandalika,BALE oyan - Double Room with Private Bathroom,,,,870 m away
mandalika,Diyah Homestay - Superior Double Room,5.0,8,,"1,4 km away"
mandalika,HomePod Mandalika - Double Room with Balcony,4.3,8,,"1,3 km away"
mandalika,Kuta HomePod - Two-Bedroom Apartment,,,,"1,3 km away"
mandalika,"Villa 4, The Habitat, Kuta Lombok - Gym Membership Included",4.3,2,,"1,4 km away"
mandalika,BEBELOVE HOMESTAY - Standard Double Room,2.5,1,,"1,3 km away"
mandalika,"Kuta Mansion 2 - Up to 6 people, full AC, Kuta",,,,770 m away
mandalika,OYO 93737 Bale Oyan Homestay - Deluxe King Room,,,,810 m away
mandalika,Krisna House - Three-Bedroom House,,,,670 m away
mandalika,AER VILLAS LOMBOK - One-Bedroom Villa,3.5,1,,"1,1 km away"
mandalika,Gania Guest House - Double Room,,,,"1,1 km away"
mandalika,Lightstars Mango Villa Mandalika - One-Bedroom Villa,,,,1.000 m away
mandalika,Lightstars Villa Lombok - Deluxe Double Room,,,,960 m away
mandalika,"Villa Alasa - Panoramic Villa, 4 Bedrooms, Private Pool, Sea View",4.5,19,,"1,5 km away"
mandalika,Villa Bintang - Deluxe Villa,3.0,1,,910 m away
mandalika,VILLA TERAUM - Villa with Sea View,,,,"1,7 km away"
mandalika,Villa Teraum\n,,,,"1,7 km away"
mandalika,Eco Lamun - Rooms,,,,1 km away
mandalika,BALE G-SHOQ - Double Room,,,,"1,2 km away"
mandalika,Bulan Biru - One-Bedroom Apartment,4.4,12,,"1,7 km away"
mandalika,ROY HOMESTAY KUTA,4.1,75,,"1,4 km away"
mandalika,Nusa Flux Villa - Luxury Ocean View Villa with Privaty Pool - Three-Bedroom Villa,,,,"1,7 km away"
mandalika,FabuLou's Place,3.8,2,,890 m away
mandalika,Eco Lamun - Apartment,,,,1 km away
mandalika,Cute Studio Perfect for digital nomad - One-Bedroom House,,,,950 m away
mandalika,GAWAH HOMESTAY - Budget Double Room,,,,"1,4 km away"
mandalika,SRY AYU HOMESTAY - Double Room,1.0,1,,900 m away
mandalika,Anjani Homestay,,,,"1,4 km away"
mandalika,Coral Homestay - Standard Double Room,2.4,4,,"1,3 km away"
mandalika,Junior Suite 2 - VILLA VALITO,,,,"1,5 km away"
mandalika,Waru Homestay Lombok,,,,"1,3 km away"
mandalika,Rara Guest House - Double Room,5.0,1,,"1,2 km away"
mandalika,Villa Seger Lombok - Villa,,,,"2,2 km away"
mandalika,Kencana Guest House - Room 1347549201,,,,1 km away
mandalika,Villa Seger Lombok,,,,"2,2 km away"
mandalika,Surf Yoga Retreats Lombok,,,,"1,5 km away"
mandalika,Nusa & Flux Villa - Luxury Ocean View Villa with Privaty Pool,5.0,2,,"1,7 km away"
mandalika,Villa Make Life Beautiful - Three-Bedroom Villa,,,,"1,3 km away"
mandalika,Nyiur Gading Local Room - Double Room,,,,"1,1 km away"
mandalika,Perwita Homestay - Deluxe Double Room with Balcony,5.0,8,Rp 182.012,"1,4 km away"
mandalika,Khadijah Homestay - Budget Double Room,3.0,2,Rp 150.872,"1,4 km away"
mandalika,Gani Homestay - Deluxe Double Room with Balcony,5.0,8,Rp 273.108,"1,3 km away"
mandalika,The luxe villas lombok - Superior Villa,5.0,16,Rp 606.887,"1,1 km away"
mandalika,Azka Homestay - Superior Double Room,5.0,8,Rp 313.555,"1,1 km away"
mandalika,Roby Homestay - Standard Double Room,4.8,5,Rp 189.171,"1,4 km away"
mandalika,Gani Homestay - Standard Twin Room,5.0,8,Rp 404.651,"1,3 km away"
mandalika,THe Kind Homestay - Twin Room with Terrace,5.0,8,,870 m away
mandalika,Romantic Homestay - Double Room with Terrace,,,,"1,3 km away"
mandalika,Villa Mandalika - King Room with Balcony,5.0,3,,860 m away
mandalika,COVE VILLAS LoMboK - One-Bedroom Villa,,,,"1,4 km away"
mandalika,Luxury Ocean View Villas with Private Cook and Free Gym Membership,5.0,70,,"1,6 km away"
mandalika,Diyah Homestay - Superior Twin Room,5.0,16,,"1,4 km away"
mandalika,Villa Bintang - Superior Villa,3.0,1,,910 m away
mandalika,THe Kind Homestay - Deluxe Double Room,5.0,8,,870 m away
mandalika,Diyah Homestay - Standard Double Room,5.0,8,,"1,4 km away"
mandalika,Diyah Homestay - Standard Twin Room,5.0,8,,"1,4 km away"
mandalika,The Habitat Lombok - One-Bedroom Villa,5.0,16,,"1,5 km away"
mandalika,Rasti 2 homestay - Superior Double Room,5.0,8,,2 km away
mandalika,Roby Homestay - Deluxe Double Room,4.8,5,,"1,4 km away"
mandalika,Villa Bintang - Standard Villa,3.0,1,,910 m away
mandalika,Rasti 2 homestay - Deluxe Room,5.0,8,,2 km away
mandalika,The luxe villas lombok - Standard Villa,5.0,8,,"1,1 km away"
mandalika,Roy Homestay - Superior Twin Room,5.0,8,,"1,4 km away"
mandalika,"Belvedere - Dreams do come true - 4 Beds, Sea views",4.6,4,,"1,4 km away"
mandalika,Roy Homestay - Standard Twin Room,5.0,8,,"1,4 km away"
mandalika,Jeeva Mandalika - Three-Bedroom Villa,4.7,3,,"1,5 km away"
mandalika,Roy Homestay - Superior Double Room,5.0,8,,"1,4 km away"
mandalika,ADELYA HOMESTAY - Superior Double Room,4.9,8,,"1,4 km away"
mandalika,Luxury Ocean View Villas with Private Cook and Free Gym Membership - Three-Bedroom Villa,5.0,8,,"1,6 km away"
mandalika,Junior Suite 3 - VILLA VALITO,,,,"1,5 km away"
mandalika,Jeeva Mandalika,,,,"1,5 km away"
mandalika,Diyah Homestay - Vacation Home,5.0,8,,"1,4 km away"
mandalika,Sulis homestay - Economy Double Room,5.0,8,,1.000 m away
mandalika,ADELYA HOMESTAY - Budget Triple Room,4.9,8,,"1,4 km away"
mandalika,Villa Seger Luxury Villa MotoGP Sea Views - Villa,4.4,6,,"1,4 km away"
mandalika,Gani Homestay,4.3,23,,"1,3 km away"
mandalika,Kencana Guest House - Room 1347549202,,,,1 km away
mandalika,Perwita Homestay,4.3,88,,"1,4 km away"
mandalika,Villa Jeeva Mandalika,,,Rp 18.666.668,"1,5 km away"
labuan bajo,Meruorah Komodo Labuan Bajo,4.5,"1,718",Rp 1.997.943,
labuan bajo,Seaesta Komodo Hostel & Hotel,4.6,"1,535",Rp 508.092,
labuan bajo,Waecicu Beach Inn,3.7,458,Rp 227.185,
labuan bajo,AYANA Komodo Waecicu Beach,4.7,"3,920",Rp 3.263.290,
labuan bajo,Bayview Gardens Hotel,4.2,493,Rp 1.495.000,
labuan bajo,Welabajo Hotel,4.5,286,Rp 293.636,
labuan bajo,Loccal Collection Hotel,4.2,"1,984",Rp 1.270.750,
labuan bajo,Sunset Hill Hotel,4.0,522,Rp 673.706,
labuan bajo,Green Hill Boutique Hotel,4.1,478,Rp 724.908,
labuan bajo,Sylvia Resort Komodo,4.2,"1,938",Rp 644.068,
