destination,restaurant_name,rating,review_count,price_level,category,restaurant_url,latitude,longitude
mandalika,Oceanside Restaurant Mandalika,,,,,https://www.google.com/maps/place/Oceanside+Restaurant+Mandalika/data=!4m7!3m6!1s0x2dcda95acf71e94b:0xa746b00e05b7b1b2!8m2!3d-8.8914146!4d116.2815754!16s%2Fg%2F11w4fvtngq!19sChIJS-lxz1qpzS0RsrG3BQ6wRqc?authuser=0&hl=id&rclk=1,-8.5991485,116.1514574
mandalika,Restoran Aer,,,,,https://www.google.com/maps/place/Restoran+Aer/data=!4m7!3m6!1s0x2dcd070a19b14c57:0x2b4ec79576edf5d8!8m2!3d-8.901154!4d116.2956587!16s%2Fg%2F11t3gnbc_6!19sChIJV0yxGQoHzS0R2PXtdpXHTis?authuser=0&hl=id&rclk=1,-8.5991485,116.1514574
mandalika,Pasta Pojok Mandalika,,,,,https://www.google.com/maps/place/Pasta+Pojok+Mandalika/data=!4m7!3m6!1s0x2dcda901038dd33f:0x7dd7e8206062272d!8m2!3d-8.891577!4d116.2811115!16s%2Fg%2F11yd1hqy67!19sChIJP9ONAwGpzS0RLSdiYCDo130?authuser=0&hl=id&rclk=1,-8.8916231,116.2811071
mandalika,Recharge Mandalika Resto & Bar,,,,,https://www.google.com/maps/place/Recharge+Mandalika+Resto+%26+Bar/data=!4m7!3m6!1s0x2dcda9f2089245e9:0xf57f6c1efc1fa8da!8m2!3d-8.8938863!4d116.2842061!16s%2Fg%2F11vc2_2kz5!19sChIJ6UWSCPKpzS0R2qgf_B5sf_U?authuser=0&hl=id&rclk=1,-8.5991485,116.1514574
mandalika,Cheap Zone warung seafood & cocktails.,,,,,https://www.google.com/maps/place/Cheap+Zone+warung+seafood+%26+cocktails./data=!4m7!3m6!1s0x2dcda9d3c30e5f0d:0x135d97451f7682d9!8m2!3d-8.8889996!4d116.2824971!16s%2Fg%2F11f03wgvpg!19sChIJDV8Ow9OpzS0R2YJ2H0WXXRM?authuser=0&hl=id&rclk=1,-8.5991485,116.1514574
mandalika,El Bazar Cafe & Restaurant,,,,,https://www.google.com/maps/place/El+Bazar+Cafe+%26+Restaurant/data=!4m7!3m6!1s0x2dcda82ca64e2a6d:0x2f578734cbf46f98!8m2!3d-8.8907153!4d116.2768532!16s%2Fg%2F11b6sy68c1!19sChIJbSpOpiyozS0RmG_0yzSHVy8?authuser=0&hl=id&rclk=1,-8.5991485,116.1514574
mandalika,Kenza Cafe Lombok,,,,,https://www.google.com/maps/place/Kenza+Cafe+Lombok/data=!4m7!3m6!1s0x2dcda82b5830428d:0x3876001b9d39c460!8m2!3d-8.8912168!4d116.2768818!16s%2Fg%2F11f03kkfgy!19sChIJjUIwWCuozS0RYMQ5nRsAdjg?authuser=0&hl=id&rclk=1,-8.5991485,116.1514574
mandalika,La Cabaña Lombok,,,,,https://www.google.com/maps/place/La+Caba%C3%B1a+Lombok/data=!4m7!3m6!1s0x2dcda9b800382cb7:0x9560564079f68ba6!8m2!3d-8.8899218!4d116.27368!16s%2Fg%2F11h6lq7spb!19sChIJtyw4ALipzS0Rpov2eUBWYJU?authuser=0&hl=id&rclk=1,-8.5991485,116.1514574
labuan bajo,Taman Laut Handayani Seafood Restaurant Labuan Bajo,,,,,https://www.google.com/maps/place/Taman+Laut+Handayani+Seafood+Restaurant+Labuan+Bajo/data=!4m7!3m6!1s0x2db467ad8b44537f:0x3ab46d6120ae37b6!8m2!3d-8.4919536!4d119.8784425!16s%2Fg%2F11fs7v3z16!19sChIJf1NEi61ntC0RtjeuIGFttDo?authuser=0&hl=id&rclk=1,-8.4944201,119.8855688
labuan bajo,MIMAMORI CAFE LABUAN BAJO,,,,,https://www.google.com/maps/place/MIMAMORI+CAFE+LABUAN+BAJO/data=!4m7!3m6!1s0x2db467179786b66f:0x13c4c006d3436d8!8m2!3d-8.4931356!4d119.8776747!16s%2Fg%2F11kj956485!19sChIJb7aGlxdntC0R2DY0bQBMPAE?authuser=0&hl=id&rclk=1,-8.4930898,119.8776801
