geoName,Mandalika Lombok,destination,Labuan Bajo,Likupang,Danau Toba,Candi Borobudur,Belitung,Wakatobi,Gunung Bromo,Raja Ampat,Pulau Morotai
Aceh,1.0,Mandalika Lombok,,,,,,,,,
Bali,9.0,Mandalika Lombok,,,,,,,,,
Banten,2.0,Mandalika Lombok,,,,,,,,,
Bengkulu,0.0,Mandalika Lombok,,,,,,,,,
Daerah Istimewa Yogyakarta,3.0,Mandalika Lombok,,,,,,,,,
Daerah Khusus Ibukota Jakarta,4.0,Mandalika Lombok,,,,,,,,,
Gorontalo,0.0,Mandalika Lombok,,,,,,,,,
Jambi,1.0,Mandalika Lombok,,,,,,,,,
Jawa Barat,2.0,Mandalika Lombok,,,,,,,,,
Jawa Tengah,1.0,Mandalika Lombok,,,,,,,,,
Jawa Timur,3.0,Mandalika Lombok,,,,,,,,,
Kalimantan Barat,1.0,Mandalika Lombok,,,,,,,,,
Kalimantan Selatan,1.0,Mandalika Lombok,,,,,,,,,
Kalimantan Tengah,1.0,Mandalika Lombok,,,,,,,,,
Kalimantan Timur,2.0,Mandalika Lombok,,,,,,,,,
Kalimantan Utara,0.0,Mandalika Lombok,,,,,,,,,
Kepulauan Bangka Belitung,0.0,Mandalika Lombok,,,,,,,,,
Kepulauan Riau,1.0,Mandalika Lombok,,,,,,,,,
Lampung,1.0,Mandalika Lombok,,,,,,,,,
Maluku,0.0,Mandalika Lombok,,,,,,,,,
Maluku Utara,0.0,Mandalika Lombok,,,,,,,,,
Nusa Tenggara Barat,100.0,Mandalika Lombok,,,,,,,,,
Nusa Tenggara Timur,2.0,Mandalika Lombok,,,,,,,,,
Papua,0.0,Mandalika Lombok,,,,,,,,,
Papua Barat,0.0,Mandalika Lombok,,,,,,,,,
Riau,1.0,Mandalika Lombok,,,,,,,,,
Sulawesi Barat,0.0,Mandalika Lombok,,,,,,,,,
Sulawesi Selatan,2.0,Mandalika Lombok,,,,,,,,,
Sulawesi Tengah,1.0,Mandalika Lombok,,,,,,,,,
Sulawesi Tenggara,1.0,Mandalika Lombok,,,,,,,,,
Sulawesi Utara,0.0,Mandalika Lombok,,,,,,,,,
Sumatera Barat,1.0,Mandalika Lombok,,,,,,,,,
Sumatera Selatan,1.0,Mandalika Lombok,,,,,,,,,
Sumatera Utara,1.0,Mandalika Lombok,,,,,,,,,
Aceh,,Labuan Bajo,1.0,,,,,,,,
Bali,,Labuan Bajo,11.0,,,,,,,,
Banten,,Labuan Bajo,3.0,,,,,,,,
Bengkulu,,Labuan Bajo,1.0,,,,,,,,
Daerah Istimewa Yogyakarta,,Labuan Bajo,3.0,,,,,,,,
Daerah Khusus Ibukota Jakarta,,Labuan Bajo,4.0,,,,,,,,
Gorontalo,,Labuan Bajo,1.0,,,,,,,,
Jambi,,Labuan Bajo,1.0,,,,,,,,
Jawa Barat,,Labuan Bajo,2.0,,,,,,,,
Jawa Tengah,,Labuan Bajo,1.0,,,,,,,,
Jawa Timur,,Labuan Bajo,2.0,,,,,,,,
Kalimantan Barat,,Labuan Bajo,1.0,,,,,,,,
Kalimantan Selatan,,Labuan Bajo,1.0,,,,,,,,
Kalimantan Tengah,,Labuan Bajo,2.0,,,,,,,,
Kalimantan Timur,,Labuan Bajo,2.0,,,,,,,,
Kalimantan Utara,,Labuan Bajo,2.0,,,,,,,,
Kepulauan Bangka Belitung,,Labuan Bajo,2.0,,,,,,,,
Kepulauan Riau,,Labuan Bajo,2.0,,,,,,,,
Lampung,,Labuan Bajo,1.0,,,,,,,,
Maluku,,Labuan Bajo,2.0,,,,,,,,
Maluku Utara,,Labuan Bajo,1.0,,,,,,,,
Nusa Tenggara Barat,,Labuan Bajo,8.0,,,,,,,,
Nusa Tenggara Timur,,Labuan Bajo,100.0,,,,,,,,
Papua,,Labuan Bajo,3.0,,,,,,,,
Papua Barat,,Labuan Bajo,2.0,,,,,,,,
Riau,,Labuan Bajo,1.0,,,,,,,,
Sulawesi Barat,,Labuan Bajo,1.0,,,,,,,,
Sulawesi Selatan,,Labuan Bajo,3.0,,,,,,,,
Sulawesi Tengah,,Labuan Bajo,1.0,,,,,,,,
Sulawesi Tenggara,,Labuan Bajo,2.0,,,,,,,,
Sulawesi Utara,,Labuan Bajo,2.0,,,,,,,,
Sumatera Barat,,Labuan Bajo,1.0,,,,,,,,
Sumatera Selatan,,Labuan Bajo,1.0,,,,,,,,
Sumatera Utara,,Labuan Bajo,1.0,,,,,,,,
Aceh,,Likupang,,0.0,,,,,,,
Bali,,Likupang,,1.0,,,,,,,
Banten,,Likupang,,1.0,,,,,,,
Bengkulu,,Likupang,,1.0,,,,,,,
Daerah Istimewa Yogyakarta,,Likupang,,1.0,,,,,,,
Daerah Khusus Ibukota Jakarta,,Likupang,,1.0,,,,,,,
Gorontalo,,Likupang,,6.0,,,,,,,
Jambi,,Likupang,,0.0,,,,,,,
Jawa Barat,,Likupang,,0.0,,,,,,,
Jawa Tengah,,Likupang,,0.0,,,,,,,
Jawa Timur,,Likupang,,0.0,,,,,,,
Kalimantan Barat,,Likupang,,0.0,,,,,,,
Kalimantan Selatan,,Likupang,,0.0,,,,,,,
Kalimantan Tengah,,Likupang,,0.0,,,,,,,
Kalimantan Timur,,Likupang,,1.0,,,,,,,
Kalimantan Utara,,Likupang,,0.0,,,,,,,
Kepulauan Bangka Belitung,,Likupang,,0.0,,,,,,,
Kepulauan Riau,,Likupang,,0.0,,,,,,,
Lampung,,Likupang,,0.0,,,,,,,
Maluku,,Likupang,,0.0,,,,,,,
Maluku Utara,,Likupang,,7.0,,,,,,,
Nusa Tenggara Barat,,Likupang,,1.0,,,,,,,
Nusa Tenggara Timur,,Likupang,,1.0,,,,,,,
Papua,,Likupang,,1.0,,,,,,,
Papua Barat,,Likupang,,2.0,,,,,,,
Riau,,Likupang,,0.0,,,,,,,
Sulawesi Barat,,Likupang,,0.0,,,,,,,
Sulawesi Selatan,,Likupang,,1.0,,,,,,,
Sulawesi Tengah,,Likupang,,1.0,,,,,,,
Sulawesi Tenggara,,Likupang,,1.0,,,,,,,
Sulawesi Utara,,Likupang,,100.0,,,,,,,
Sumatera Barat,,Likupang,,0.0,,,,,,,
Sumatera Selatan,,Likupang,,0.0,,,,,,,
Sumatera Utara,,Likupang,,0.0,,,,,,,
Aceh,,Danau Toba,,,16.0,,,,,,
Bali,,Danau Toba,,,8.0,,,,,,
Banten,,Danau Toba,,,9.0,,,,,,
Bengkulu,,Danau Toba,,,11.0,,,,,,
