date,destination,score
2023-01-01,Mandalika Lombok,37
2023-01-08,Mandalika Lombok,30
2023-01-15,Mandalika Lombok,25
2023-01-22,Mandalika Lombok,28
2023-01-29,Mandalika Lombok,33
2023-02-05,Mandalika Lombok,25
2023-02-12,Mandalika Lombok,24
2023-02-19,Mandalika Lombok,30
2023-02-26,Mandalika Lombok,27
2023-03-05,Mandalika Lombok,33
2023-03-12,Mandalika Lombok,25
2023-03-19,Mandalika Lombok,20
2023-03-26,Mandalika Lombok,32
2023-04-02,Mandalika Lombok,16
2023-04-09,Mandalika Lombok,23
2023-04-16,Mandalika Lombok,18
2023-04-23,Mandalika Lombok,33
2023-04-30,Mandalika Lombok,18
2023-05-07,Mandalika Lombok,26
2023-05-14,Mandalika Lombok,25
2023-05-21,Mandalika Lombok,23
2023-05-28,Mandalika Lombok,26
2023-06-04,Mandalika Lombok,27
2023-06-11,Mandalika Lombok,27
2023-06-18,Mandalika Lombok,28
2023-06-25,Mandalika Lombok,25
2023-07-02,Mandalika Lombok,32
2023-07-09,Mandalika Lombok,30
2023-07-16,Mandalika Lombok,35
2023-07-23,Mandalika Lombok,30
2023-07-30,Mandalika Lombok,21
2023-08-06,Mandalika Lombok,33
2023-08-13,Mandalika Lombok,33
2023-08-20,Mandalika Lombok,27
2023-08-27,Mandalika Lombok,20
2023-09-03,Mandalika Lombok,19
2023-09-10,Mandalika Lombok,27
2023-09-17,Mandalika Lombok,46
2023-09-24,Mandalika Lombok,35
2023-10-01,Mandalika Lombok,41
2023-10-08,Mandalika Lombok,100
2023-10-15,Mandalika Lombok,99
2023-10-22,Mandalika Lombok,28
2023-10-29,Mandalika Lombok,33
2023-11-05,Mandalika Lombok,35
2023-11-12,Mandalika Lombok,29
2023-11-19,Mandalika Lombok,26
2023-11-26,Mandalika Lombok,31
2023-12-03,Mandalika Lombok,40
2023-12-10,Mandalika Lombok,25
2023-12-17,Mandalika Lombok,36
2023-12-24,Mandalika Lombok,40
2023-12-31,Mandalika Lombok,36
2024-01-07,Mandalika Lombok,20
2024-01-14,Mandalika Lombok,26
2024-01-21,Mandalika Lombok,22
2024-01-28,Mandalika Lombok,30
2024-02-04,Mandalika Lombok,24
2024-02-11,Mandalika Lombok,22
2024-02-18,Mandalika Lombok,22
2024-02-25,Mandalika Lombok,17
2024-03-03,Mandalika Lombok,26
2024-03-10,Mandalika Lombok,17
2024-03-17,Mandalika Lombok,26
2024-03-24,Mandalika Lombok,24
2024-03-31,Mandalika Lombok,18
2024-04-07,Mandalika Lombok,23
2024-04-14,Mandalika Lombok,29
2024-04-21,Mandalika Lombok,40
2024-04-28,Mandalika Lombok,19
2024-05-05,Mandalika Lombok,27
2024-05-12,Mandalika Lombok,27
