ident,type,name,latitude_deg,longitude_deg,iata_code
AXO,small_airport,Pantar Kabir Airport,-8.244832,124.219108,AXO
DEX,small_airport,Nop Goliat Dekai Airport,-4.8557,139.482006,DEX
ID-0003,small_airport,Pulau Panjang Airport,-5.644444,106.5625,PPJ
ID-0004,small_airport,Okpahik Airstrip,-4.697855,140.770547,
ID-0008,small_airport,Berau Airport,2.16350007057,117.68699646,
ID-0010,small_airport,Jatiwangi Airport,-6.678375,108.252219444,
ID-0012,small_airport,Lasondre Airport,-0.01924,98.30097,
ID-0022,small_airport,Aboge Airstrip,-6.0634,139.267,
ID-0023,small_airport,Aboyi Airstrip,-4.288741,140.640664,
ID-0024,small_airport,Amazu Airstrip,-5.6119,139.6234,
ID-0025,small_airport,Ambisibil Airstrip,-4.67128,140.574487,
ID-0026,small_airport,Angguruk Airstrip,-4.200167,139.432554,
ID-0027,small_airport,Arsbol Airstrip,-3.6941,138.9372,
ID-0028,small_airport,Bentiang Airstrip,0.9196,109.9155,
ID-0029,small_airport,Beoga Airport,-3.8165,137.4252,
ID-0030,small_airport,Bime Airstrip,-4.48558,140.219843,
ID-0031,small_airport,Diphikin Airstrip,-4.725525,140.792284,
ID-0032,small_airport,Binuang Airstrip,3.7147,115.8517,
ID-0033,small_airport,Biri Airstrip,-2.87793,137.76816,
ID-0034,small_airport,Bomela Airport,-4.693634,139.912707,
ID-0035,small_airport,Bomomani Airstrip,-3.960942,135.939631,
ID-0036,small_airport,Borme Airstrip,-4.394362,140.436348,
ID-0037,small_airport,Kurid  Airstrip,3.798115,115.706339,
ID-0038,small_airport,Bugalaga Airstrip,-3.6235,136.5963,
ID-0039,small_airport,Calang Airstrip,4.612323,95.623534,
ID-0040,small_airport,Comoro Airstrip,-5.926349,138.631461,
ID-0041,small_airport,Dagai Airport,-3.305757,137.94366,
ID-0042,small_airport,Datah Dian Airstrip,2.006992,115.151588,
ID-0043,small_airport,Daufo Airfield,-3.1737,137.2544,
ID-0044,small_airport,Derapos Airstrip,-2.9737,137.2234,
ID-0045,small_airport,Dou Airstrip,-3.262752,138.1484,
ID-0046,small_airport,Doyo Baru Airport,-2.538781,140.464293,
ID-0047,small_airport,Eaopoto Airstrip,-3.9497,136.3383,
ID-0048,small_airport,Engkadik Airstrip,0.9797,110.0282,
ID-0049,small_airport,Eri Airstrip,-2.637412,138.101757,
ID-0050,small_airport,Faowi Airstrip,-3.230632,137.726191,
ID-0052,small_airport,Foao Airstrip,-3.066549,139.099195,
ID-0053,small_airport,Fruata Airstrip,-2.9858,133.5001,
ID-0054,small_airport,Geyarek Airstrip,-4.650391,138.752389,
ID-0055,small_airport,Gilgal Airstrip,0.458,111.0707,
ID-0056,small_airport,Gusimawa Airstrip,-3.041994,133.878175,
ID-0057,small_airport,Haya Airstrip,-2.8156,138.1099,
ID-0058,small_airport,Hing Airstrip,-1.233,133.9478,
ID-0059,small_airport,Hitadipa Airport,-3.734325,137.116992,
ID-0060,small_airport,Holuwon Airstrip,-4.480541,139.273998,
ID-0061,small_airport,Hubliki Airstrip,-3.732237,139.286263,
ID-0062,small_airport,Hulu Atas Airstrip,-3.6799,140.22955,
ID-0063,small_airport,Ibele Airstrip,-4.052,138.796,
ID-0064,small_airport,Kaiy Airstrip,-2.9871,138.1062,
ID-0066,small_airport,Illaga III Airport,-3.9993,137.65317,
ID-0067,small_airport,Ilugwa/Antara Airport,-3.835894,138.921683,
ID-0068,small_airport,Iratoi Airstrip,-3.2389,137.3339,
ID-0069,small_airport,Iray Airstrip,-1.33034,133.91081,
ID-0070,small_airport,Iwur Airstrip,-5.139139,140.717638,
ID-0071,small_airport,Jila Airstrip,-4.24677,137.59563,
ID-0072,small_airport,Jita Airstrip,-4.8564,137.7019,
ID-0073,small_airport,Kanggime Airstrip,-3.665978,138.361559,
ID-0074,small_airport,Kasonaweja Airstrip,-2.3007,138.0327,
ID-0075,small_airport,Kaure  Airstrip,-3.469809,140.362085,
ID-0076,small_airport,Kedembak Airstrip,0.5906,111.302,
ID-0077,small_airport,Kelansam Airstrip,0.1228,111.4197,
ID-0078,small_airport,Keneyan Airstrip,-4.5995,138.3844,
ID-0079,small_airport,Kerapak Airstrip,0.0939,111.9083,
ID-0080,small_airport,Kiwi Airstrip,-4.697841,140.722425,
ID-0081,small_airport,Kobagma Airport,-3.666539,139.058758,
ID-0082,small_airport,Komopa Airstrip,-3.7998,136.4775,
ID-0083,small_airport,Koropun Airstrip,-4.479226,139.649894,
ID-0084,small_airport,Kuala Kurun Airport,-1.128903,113.873075,GXM
ID-0085,small_airport,Kuala Randau Airstrip,-0.582399,110.472759,
ID-0086,small_airport,Kustera Airstrip,-2.746014,137.919206,
ID-0087,small_airport,Kwerba Airstrip,-2.643549,138.40894,
