DPP,Search_Volume_Score,TikTok_Hashtag_Views,TikTok_Total_Engagement,GoogleMaps_Avg_Rating,GoogleMaps_Total_Reviews,IG_Total_Engagement,Supply_Total_Hotels,Supply_Avg_Hotel_Price,Supply_Avg_Hotel_Rating,Supply_Avg_Airport_Dist_KM,Supply_Avg_Port_Dist_KM,Flight_Frequency,Cluster_KMeans,Cluster_Hierarchical,Cluster_GMM
Borobudur,41.79,1700000000,9883213,4.7,122782,1936,207,935413.4606741572,4.385915492957746,36.82142983762363,0.0,61,1,3,1
Bromo,19.84,1600000000,16450261,4.83,9194,7592,260,1244882.3097345133,4.087898089171974,26.52006556281029,0.0,7,2,1,2
Danau Toba,6.12,7800000000,16192772,4.6,9648,11427,449,547605.3333333334,4.280403458213256,40.29008968614176,5.952278729402922,4,2,1,2
Labuan Bajo,39.78,3900000000,17934865,4.67,4476,4104,238,2393029.8173076925,4.221830985915493,1.585329957405903,1.1227041288787725,27,1,0,0
Likupang,52.9,52700000,7731483,4.67,2387,5125,123,1382251.3,4.4906976744186045,18.907864600173003,0.0,35,1,0,1
Mandalika,28.84,4400000000,6144653,4.6,22336,2522,234,723108.8333333334,4.470909090909092,22.295361396114,16.579078822211194,64,1,3,1
Morotai,29.74,52700,6558269,4.43,332,4979,14,1482796.888888889,4.444444444444445,28.774106113733406,29.24990570393013,0,3,0,1
Raja Ampat,6.07,2200000000,22061319,4.85,2421,6016,415,1285792.5598290598,4.496696696696697,107.69990773753877,6.509155708599444,20,2,1,2
Tanjung Kelayang,70.57,7600000000,4046860,4.7,10419,1579,276,478846.2155172414,4.158222222222222,149.77740079434665,49.014087916640776,7,0,2,3
Wakatobi,46.69,980300000,10267463,4.65,325,5233,43,805936.0,4.379310344827586,12.785642734423163,5.517032347130765,0,3,0,1
