Wilayah,Nama_Pelabuhan,Latitude,Longitude
Sumatera Utara,Pelabuhan Tanpa Nama,2.6679209,98.8610904
Sumatera Utara,Tiga Raja Harbor,2.6609915,98.9303531
Sumatera Utara,Lasondre,-0.0244966,98.3016193
Sumatera Utara,Pelabuhan Tanpa Nama,2.6555018,98.8594318
Sumatera Utara,Pelabuhan Ferry Ambarita,2.6807664,98.8370103
Sumatera Utara,Pelabuhan Tanpa Nama,2.6689388,98.8556721
Sumatera Utara,Pelabuhan Tanpa Nama,2.6711702,98.8622758
Sumatera Utara,Pelabuhan Tanpa Nama,2.6527809,98.8626737
Sumatera Utara,Teluk Dalam Ferry Station,0.5537108,97.8216701
Sumatera Utara,Tanjung Balai,2.9985739,99.8174894
Sumatera Utara,Pelabuhan Tanpa Nama,0.0893551,98.8470894
Sumatera Utara,Pelabuhan Tanpa Nama,2.1173385,99.8938099
Sumatera Utara,Pelabuhan Tanpa Nama,2.1167503,99.8939866
Sumatera Utara,Pelabuhan Tanpa Nama,2.133341,99.9513656
Sumatera Utara,Pelabuhan Tanpa Nama,2.1326191,99.9516296
Sumatera Utara,Pelabuhan Tanpa Nama,2.5013743,100.1648882
Sumatera Utara,Pelabuhan Tanpa Nama,2.5141372,100.1686908
Sumatera Utara,Pelabuhan Tanpa Nama,2.3085553,100.0707633
Sumatera Utara,Pelabuhan Tanpa Nama,2.3077138,100.0706453
Sumatera Utara,Pelabuhan Tanpa Nama,2.4941688,100.1156794
Sumatera Utara,Pelabuhan Tanpa Nama,2.4980995,100.1137389
Sumatera Utara,Pelabuhan Tanpa Nama,2.512464,99.9476963
Sumatera Utara,Pelabuhan Tanpa Nama,2.5117705,99.9467957
Sumatera Utara,Pelabuhan Tanpa Nama,2.1712821,100.001603
Sumatera Utara,Pelabuhan Tanpa Nama,2.1721171,100.0008671
Sumatera Utara,Pelabuhan Tanpa Nama,2.1886341,100.0299564
Sumatera Utara,Pelabuhan Tanpa Nama,2.1881357,100.030303
Sumatera Utara,Pelabuhan Tanpa Nama,3.7138293,98.3840883
Sumatera Utara,Pulau Tello,-0.0500892,98.2850949
Sumatera Utara,Sibolga,1.7276577,98.7863963
Sumatera Utara,Pelabuhan Tanpa Nama,4.0337212,98.2892878
Sumatera Utara,Pelabuhan Tanpa Nama,4.0319661,98.289843
Sumatera Utara,Pelabuhan Tanpa Nama,2.6544776,98.9333414
Sumatera Utara,Pelabuhan Belawan,3.7780783,98.6806199
Sumatera Utara,Teluk Dalam,0.5551215,97.8215267
Sumatera Utara,Pelabuhan Tanpa Nama,2.6591391,98.9327486
Sumatera Utara,Gunungsitoli,1.3038683,97.6094821
Sumatera Utara,Sibolga,1.7280632,98.7904389
Sumatera Utara,Pelabuhan Tanpa Nama,2.754375,98.7461761
Sumatera Utara,Pelabuhan Tanpa Nama,2.7979941,98.7890955
Sumatera Utara,Tanjung Balai Asahan,2.9988761,99.8150417
Sumatera Utara,Pelabuhan Tanpa Nama,3.7140831,98.3854028
Sumatera Utara,Pelabuhan Tanpa Nama,2.4344019,98.8984913
Nusa Tenggara Timur,Pelabuhan ferry Baranusa,-8.3636339,124.0936632
Nusa Tenggara Timur,Kalabahi,-8.2205627,124.5140045
Nusa Tenggara Timur,Pelabuhan ferry Kupang (Bolok),-10.2174062,123.5190191
Nusa Tenggara Timur,Kupang Ferry Terminal,-10.2194557,123.5194507
Nusa Tenggara Timur,Dermaga Loh Liang,-8.5707456,119.4996842
Nusa Tenggara Timur,ASDP,-9.4221788,119.6131031
Nusa Tenggara Timur,Pelabuhan Laurentius Say Maumere,-8.6146073,122.2198072
Nusa Tenggara Timur,Pelabuhan Watu Asa,-9.3623078,119.6515001
Nusa Tenggara Timur,Pelabuhan Tanpa Nama,-8.8512187,121.5222645
Nusa Tenggara Timur,Pelabuhan Ende,-8.8453584,121.6418085
Nusa Tenggara Timur,Pelabuhan Tanpa Nama,-8.489354,122.3958975
Nusa Tenggara Timur,Pelabuhan Feri Kojadoi,-8.495779,122.3996227
Nusa Tenggara Timur,Pelabuhan ferry Waikelo,-9.3845145,119.2292835
Nusa Tenggara Timur,Pelabuhan Labuan Bajo,-8.4936356,119.8753601
Nusa Tenggara Timur,Pelabuhan Larantuka,-8.3432526,122.9888977
Nusa Tenggara Timur,Lamakera,-8.4315861,123.1646599
Nusa Tenggara Timur,Pelabuhan ferry Gurita,-9.0105259,124.8100274
Nusa Tenggara Timur,Boleng,-8.3835941,123.2974253
Nusa Tenggara Timur,Wailebe,-8.3665309,122.9996999
Nusa Tenggara Timur,Pelabuhan Palue,-8.3065965,121.7365591
Nusa Tenggara Timur,Pelabuhan Tanpa Nama,-8.677389,119.555788
Nusa Tenggara Timur,Cruise Ship Tender Landing,-8.5725401,119.5020843
Nusa Tenggara Timur,Pelabuhan ferry Kalabahi,-8.222,124.5123621
Nusa Tenggara Timur,Pelabuhan ferry Hansisi,-10.1839594,123.4986008
Nusa Tenggara Timur,Pelabuhan Tanpa Nama,-8.4428514,123.0091595
Nusa Tenggara Timur,Karawatung,-8.448504,123.0178749
Nusa Tenggara Timur,Botan,-8.4332265,123.0810357
Nusa Tenggara Timur,Lewo,-8.4336124,123.0659741
Nusa Tenggara Timur,Larantuka,-8.3453262,122.9505917
Nusa Tenggara Timur,Balauring,-8.2360123,123.7055146
Nusa Tenggara Timur,Pelabuhan ferry Rote (Pantai Baru),-10.6051185,123.2323568
Nusa Tenggara Timur,Pelabuhan Tanpa Nama,-8.8415474,120.7922286
Nusa Tenggara Timur,Pelabuhan Tanpa Nama,-9.4952785,123.8079008
Nusa Tenggara Timur,Pelabuhan Tanpa Nama,-8.8985933,121.1397873
Nusa Tenggara Timur,Tabilota,-8.3563922,123.0049314
Nusa Tenggara Timur,Pelabuhan Tanpa Nama,-8.5041505,119.8779435
Nusa Tenggara Timur,Pelabuhan ferry Aimere,-8.8422879,120.8544116
Nusa Tenggara Timur,Pelabuhan Lewoleba,-8.3700962,123.4041409
Nusa Tenggara Timur,Pelabuhan Waingapu,-9.6374878,120.2507833
Nusa Tenggara Timur,Waikelo,-9.3884571,119.2209972
Nusa Tenggara Timur,Pelabuhan Tanpa Nama,-8.6016599,119.5218622
Nusa Tenggara Timur,Mananga,-8.4327976,123.089801
Nusa Tenggara Timur,Pelabuhan Atapupu,-8.9937446,124.8589803
Nusa Tenggara Timur,Pelabuhan Wini,-9.1776213,124.4927024
Nusa Tenggara Timur,Ende,-8.8778964,121.5150353
Nusa Tenggara Timur,Pelabuhan Tanpa Nama,-8.8269776,120.6101248
Nusa Tenggara Timur,Rote,-10.7225159,123.0433492
Nusa Tenggara Timur,Sabu,-10.4888618,121.8371633
Nusa Tenggara Timur,Pelabuhan Raijua,-10.6006856,121.617714
Nusa Tenggara Timur,Lohayong,-8.4343163,123.0598324
Nusa Tenggara Timur,Pelabuhan ferry Lewoleba,-8.3934539,123.3505735
Nusa Tenggara Timur,Pelabuhan ferry Labuan Bajo,-8.4920852,119.8750758
Nusa Tenggara Timur,Ndao,-10.8157678,122.6766647
Nusa Tenggara Timur,Pelabuhan ferry Bakalang,-8.2682091,124.2989119
Nusa Tenggara Timur,Deri,-8.3286092,123.3045986
Nusa Tenggara Timur,Pelabuhan Tenau Kupang,-10.1933976,123.5268877
Nusa Tenggara Timur,Pelabuhan ferry Naikliu,-9.4974842,123.8138078
Nusa Tenggara Timur,Pelabuhan ferry Waingapu,-9.6365911,120.2473248
Nusa Tenggara Timur,Pelabuhan ferry Sabu,-10.48834,121.8395634
Nusa Tenggara Timur,Pelabuhan ferry Ndao,-10.8102798,122.6709118
Nusa Tenggara Timur,Pelabuhan ferry Maropokot,-8.5163813,121.3303452
Nusa Tenggara Timur,Pelabuhan Ippi Ende,-8.85493,121.6633964
Nusa Tenggara Timur,Pelabuhan Kalabahi,-8.2197007,124.5164033
Nusa Tenggara Timur,Pelabuhan ferry Pemana,-8.3540684,122.3203748
Nusa Tenggara Timur,Pelabuhan ferry Kewapante (Maumere),-8.6409385,122.2946705
Nusa Tenggara Timur,Waiwerang,-8.3911698,123.1628564
Nusa Tenggara Timur,Waiwuring,-8.2966883,123.3052948
Nusa Tenggara Timur,Terong,-8.3909673,123.1313534
Nusa Tenggara Timur,Tanah Merah,-8.3161454,123.0274444
Nusa Tenggara Timur,Pantai Palo,-8.3180274,123.0190877
Nusa Tenggara Timur,Pamakayo,-8.4355779,122.9864093
Nusa Tenggara Barat,Kayangan,-8.4883938,116.6749298
Nusa Tenggara Barat,Pelabuhan ferry Lembar,-8.730002,116.0770879
Nusa Tenggara Barat,Pelabuhan Tanpa Nama,-8.3546325,116.0438496
Nusa Tenggara Barat,Teluk Nare,-8.4060247,116.0735492
Nusa Tenggara Barat,Dermaga,-8.4265425,118.6905466
Nusa Tenggara Barat,Pelabuhan ferry Sape,-8.5725695,119.021779
Nusa Tenggara Barat,Dermaga,-8.5727914,119.0214615
Nusa Tenggara Barat,Bangsal,-8.3935809,116.1003771
Nusa Tenggara Barat,Dermaga,-8.5762453,119.0368703
Nusa Tenggara Barat,Pelabuhan Carik,-8.2223485,116.4269117
Nusa Tenggara Barat,Dermaga 1 Kayangan,-8.4849392,116.6745294
Nusa Tenggara Barat,Kayangan,-8.4844654,116.6726835
Nusa Tenggara Barat,Mining,-8.8977157,116.7449903
Nusa Tenggara Barat,Benete,-8.8946739,116.7495389
Nusa Tenggara Barat,Pelabuhan Tanpa Nama,-8.811943,116.505536
Nusa Tenggara Barat,Pelabuhan Tanpa Nama,-8.8133404,116.5114785
Nusa Tenggara Barat,Dermaga 1 Pototano,-8.5215493,116.8328237
Nusa Tenggara Barat,Pelabuhan rakyat,-8.4989723,116.6735836
Nusa Tenggara Barat,Pelabuhan Tanpa Nama,-8.807741,116.5021263
Nusa Tenggara Barat,Pelabuhan Tanpa Nama,-8.8086631,116.4984936
Nusa Tenggara Barat,Pelabuhan Tanpa Nama,-8.8096841,116.4965384
Nusa Tenggara Barat,Harbor Gili Air,-8.364178,116.0829489
Nusa Tenggara Barat,Ferry Senggigi,-8.4986443,116.0447825
Nusa Tenggara Barat,Dermaga 2 Kayangan,-8.4856186,116.6737833
