Wilayah,Nama_Pelabuhan,Latitude,Longitude
Sumatera Utara,Pelabuhan Tanpa Nama,2.6679209,98.8610904
Sumatera Utara,Tiga Raja Harbor,2.6609915,98.9303531
Sumatera Utara,Lasondre,-0.0244966,98.3016193
Sumatera Utara,Pelabuhan Tanpa Nama,2.6555018,98.8594318
Sumatera Utara,Pelabuhan Ferry Ambarita,2.6807664,98.8370103
Sumatera Utara,Pelabuhan Tanpa Nama,2.6689388,98.8556721
Sumatera Utara,Pelabuhan Tanpa Nama,2.6711702,98.8622758
Sumatera Utara,Pelabuhan Tanpa Nama,2.6527809,98.8626737
Sumatera Utara,Teluk Dalam Ferry Station,0.5537108,97.8216701
Sumatera Utara,Tanjung Balai,2.9985739,99.8174894
Sumatera Utara,Pelabuhan Tanpa Nama,0.0893551,98.8470894
Sumatera Utara,Pelabuhan Tanpa Nama,2.1173385,99.8938099
Sumatera Utara,Pelabuhan Tanpa Nama,2.1167503,99.8939866
Sumatera Utara,Pelabuhan Tanpa Nama,2.133341,99.9513656
Sumatera Utara,Pelabuhan Tanpa Nama,2.1326191,99.9516296
Sumatera Utara,Pelabuhan Tanpa Nama,2.5013743,100.1648882
Sumatera Utara,Pelabuhan Tanpa Nama,2.5141372,100.1686908
Sumatera Utara,Pelabuhan Tanpa Nama,2.3085553,100.0707633
Sumatera Utara,Pelabuhan Tanpa Nama,2.3077138,100.0706453
Sumatera Utara,Pelabuhan Tanpa Nama,2.4941688,100.1156794
Sumatera Utara,Pelabuhan Tanpa Nama,2.4980995,100.1137389
Sumatera Utara,Pelabuhan Tanpa Nama,2.512464,99.9476963
Sumatera Utara,Pelabuhan Tanpa Nama,2.5117705,99.9467957
Sumatera Utara,Pelabuhan Tanpa Nama,2.1712821,100.001603
Sumatera Utara,Pelabuhan Tanpa Nama,2.1721171,100.0008671
Sumatera Utara,Pelabuhan Tanpa Nama,2.1886341,100.0299564
Sumatera Utara,Pelabuhan Tanpa Nama,2.1881357,100.030303
Sumatera Utara,Pelabuhan Tanpa Nama,3.7138293,98.3840883
Sumatera Utara,Pulau Tello,-0.0500892,98.2850949
Sumatera Utara,Sibolga,1.7276577,98.7863963
Sumatera Utara,Pelabuhan Tanpa Nama,4.0337212,98.2892878
Sumatera Utara,Pelabuhan Tanpa Nama,4.0319661,98.289843
Sumatera Utara,Pelabuhan Tanpa Nama,2.6544776,98.9333414
Sumatera Utara,Pelabuhan Belawan,3.7780783,98.6806199
Sumatera Utara,Teluk Dalam,0.5551215,97.8215267
Sumatera Utara,Pelabuhan Tanpa Nama,2.6591391,98.9327486
Sumatera Utara,Gunungsitoli,1.3038683,97.6094821
Sumatera Utara,Sibolga,1.7280632,98.7904389
Sumatera Utara,Pelabuhan Tanpa Nama,2.754375,98.7461761
Sumatera Utara,Pelabuhan Tanpa Nama,2.7979941,98.7890955
Sumatera Utara,Tanjung Balai Asahan,2.9988761,99.8150417
Sumatera Utara,Pelabuhan Tanpa Nama,3.7140831,98.3854028
Sumatera Utara,Pelabuhan Tanpa Nama,2.4344019,98.8984913
Daerah Khusus Ibukota Jakarta,Pelabuhan Tanjung Priok,-6.1037982,106.8824532
Daerah Khusus Ibukota Jakarta,Dermaga,-5.7997315,106.4995946
Daerah Khusus Ibukota Jakarta,Pelabuhan Tanpa Nama,-5.9779247,106.6928759
Daerah Khusus Ibukota Jakarta,Pelabuhan Dermaga Timur,-5.9342224,106.589372
Daerah Khusus Ibukota Jakarta,Dermaga Utara,-5.7966304,106.500131
Daerah Khusus Ibukota Jakarta,Pelabuhan Perhubungan,-5.823452,106.5547771
Daerah Khusus Ibukota Jakarta,Pelabuhan Tanpa Nama,-5.7707823,106.5590307
Daerah Khusus Ibukota Jakarta,Pelabuhan Tanpa Nama,-5.9603438,106.5220588
Daerah Khusus Ibukota Jakarta,Pelabuhan Tanpa Nama,-5.857379,106.6003583
Daerah Khusus Ibukota Jakarta,Pelabuhan Tanpa Nama,-5.8586541,106.6055408
Daerah Khusus Ibukota Jakarta,Dermaga Dishub Pulau Untung Jawa,-5.9798953,106.7070991
Daerah Khusus Ibukota Jakarta,Pelabuhan Tanpa Nama,-5.735759,106.6026503
Daerah Khusus Ibukota Jakarta,Pelabuhan Tanpa Nama,-5.7452511,106.6120846
Daerah Khusus Ibukota Jakarta,Pelabuhan Tanpa Nama,-5.7602093,106.6065766
Daerah Khusus Ibukota Jakarta,Dermaga Utama Pulau Harapan,-5.650128,106.5783122
Daerah Khusus Ibukota Jakarta,Dermaga Cinok,-5.6526709,106.5666222
Daerah Khusus Ibukota Jakarta,Pelabuhan Penyeberangan Pulau Kelapa,-5.656977,106.5733969
Daerah Khusus Ibukota Jakarta,Dermaga Utama Pulau Panggang,-5.7373662,106.6004282
Daerah Khusus Ibukota Jakarta,Dermaga Kelapa Dua,-5.6502317,106.5684704
Daerah Khusus Ibukota Jakarta,Pelabuhan Tanpa Nama,-6.104333,106.7717159
Daerah Khusus Ibukota Jakarta,Pelabuhan Tanpa Nama,-5.8587335,106.6193442
Daerah Khusus Ibukota Jakarta,Pelabuhan Tanpa Nama,-5.2062471,106.4608124
Daerah Khusus Ibukota Jakarta,Pelabuhan Tanpa Nama,-5.9287613,106.5833286
Daerah Khusus Ibukota Jakarta,Pelabuhan Tanpa Nama,-5.6197586,106.5813896
Daerah Khusus Ibukota Jakarta,Pelabuhan Tanpa Nama,-5.6180141,106.5719711
Daerah Khusus Ibukota Jakarta,Pelabuhan Tanpa Nama,-5.6604044,106.5698485
Daerah Khusus Ibukota Jakarta,Pelabuhan Tanpa Nama,-5.6517735,106.5700742
Daerah Khusus Ibukota Jakarta,Pelabuhan Tanpa Nama,-5.709834,106.5665949
Daerah Khusus Ibukota Jakarta,Pelabuhan Tanpa Nama,-5.7085095,106.5756416
Daerah Khusus Ibukota Jakarta,Pelabuhan Tanpa Nama,-5.7470406,106.6150993
Daerah Khusus Ibukota Jakarta,Pelabuhan Tanpa Nama,-5.938644,106.5951705
Daerah Khusus Ibukota Jakarta,Pelabuhan Tanpa Nama,-6.0375285,106.7465097
Daerah Khusus Ibukota Jakarta,Pelabuhan Tanpa Nama,-6.0400943,106.7353508
Daerah Khusus Ibukota Jakarta,Pelabuhan Tanpa Nama,-6.0348289,106.7348848
Daerah Khusus Ibukota Jakarta,Pelabuhan Tanpa Nama,-6.0051792,106.7806817
Daerah Khusus Ibukota Jakarta,Pelabuhan Tanpa Nama,-5.9585255,106.8422227
Daerah Khusus Ibukota Jakarta,Pelabuhan Tanpa Nama,-5.8045381,106.5218785
Daerah Khusus Ibukota Jakarta,Pelabuhan Tanpa Nama,-5.8625967,106.5994845
Daerah Khusus Ibukota Jakarta,Pelabuhan Tanpa Nama,-5.8558179,106.6056427
Daerah Khusus Ibukota Jakarta,Pelabuhan Tanpa Nama,-5.8599593,106.600666
Daerah Khusus Ibukota Jakarta,Pelabuhan Tanpa Nama,-5.7365791,106.6090187
Daerah Khusus Ibukota Jakarta,Pelabuhan Tanpa Nama,-5.6150385,106.5768961
Daerah Khusus Ibukota Jakarta,Pelabuhan Tanpa Nama,-5.6347907,106.578973
Daerah Khusus Ibukota Jakarta,Pelabuhan Tanpa Nama,-5.6199499,106.5607303
Daerah Khusus Ibukota Jakarta,Pelabuhan Tanpa Nama,-5.6193764,106.5519756
Daerah Khusus Ibukota Jakarta,Pelabuhan Tanpa Nama,-5.6237526,106.5479044
Daerah Khusus Ibukota Jakarta,Pelabuhan Tanpa Nama,-5.6284526,106.5727628
Nusa Tenggara Barat,Kayangan,-8.4883938,116.6749298
Nusa Tenggara Barat,Pelabuhan ferry Lembar,-8.730002,116.0770879
Nusa Tenggara Barat,Pelabuhan Tanpa Nama,-8.3546325,116.0438496
Nusa Tenggara Barat,Teluk Nare,-8.4060247,116.0735492
Nusa Tenggara Barat,Dermaga,-8.4265425,118.6905466
Nusa Tenggara Barat,Pelabuhan ferry Sape,-8.5725695,119.021779
Nusa Tenggara Barat,Dermaga,-8.5727914,119.0214615
Nusa Tenggara Barat,Bangsal,-8.3935809,116.1003771
Nusa Tenggara Barat,Dermaga,-8.5762453,119.0368703
Nusa Tenggara Barat,Pelabuhan Carik,-8.2223485,116.4269117
Nusa Tenggara Barat,Dermaga 1 Kayangan,-8.4849392,116.6745294
Nusa Tenggara Barat,Kayangan,-8.4844654,116.6726835
Nusa Tenggara Barat,Mining,-8.8977157,116.7449903
Nusa Tenggara Barat,Benete,-8.8946739,116.7495389
Nusa Tenggara Barat,Pelabuhan Tanpa Nama,-8.811943,116.505536
Nusa Tenggara Barat,Pelabuhan Tanpa Nama,-8.8133404,116.5114785
Nusa Tenggara Barat,Dermaga 1 Pototano,-8.5215493,116.8328237
Nusa Tenggara Barat,Pelabuhan rakyat,-8.4989723,116.6735836
Nusa Tenggara Barat,Pelabuhan Tanpa Nama,-8.807741,116.5021263
Nusa Tenggara Barat,Pelabuhan Tanpa Nama,-8.8086631,116.4984936
Nusa Tenggara Barat,Pelabuhan Tanpa Nama,-8.8096841,116.4965384
Nusa Tenggara Barat,Harbor Gili Air,-8.364178,116.0829489
Nusa Tenggara Barat,Ferry Senggigi,-8.4986443,116.0447825
Nusa Tenggara Barat,Dermaga 2 Kayangan,-8.4856186,116.6737833
Nusa Tenggara Barat,Bangsal,-8.3921167,116.0986779
Nusa Tenggara Barat,Gili Gede,-8.740805,115.9258247
Nusa Tenggara Barat,Pelabuhan Tanpa Nama,-8.7669856,115.9365563
Nusa Tenggara Barat,Dermaga 2 Pototano,-8.5199601,116.8329884
Nusa Tenggara Barat,Pelabuhan Tanpa Nama,-8.7199699,116.0098126
Nusa Tenggara Barat,Pelabuhan Tanpa Nama,-8.4440429,118.7142162
Nusa Tenggara Barat,Pelabuhan Bima,-8.4473827,118.7129148
Nusa Tenggara Barat,Pelabuhan Gili Mas,-8.7414998,116.0613143
Nusa Tenggara Barat,Pelabuhan Bima,-8.4479536,118.7126416
Nusa Tenggara Barat,Pelabuhan Tanpa Nama,-8.3523691,116.06274
Sulawesi Tenggara,Pelabuhan Ferry Waara (Wamengkoli),-5.426806,122.6003652
Sulawesi Tenggara,Pelabuhan ferry Mawasangka,-5.2807924,122.2800174
