DPP,Search_Volume_Score,TikTok_Hashtag_Views,TikTok_Total_Engagement,GoogleMaps_Avg_Rating,GoogleMaps_Total_Reviews,IG_Total_Engagement
Borobudur,41.79,1700000000,9883213,4.7,122782,1936
Bromo,19.84,1600000000,16450261,4.83,9194,7592
Danau Toba,6.12,7800000000,16192772,4.6,9648,11427
Labuan Bajo,39.78,3900000000,17934865,4.67,4476,4104
Likupang,52.9,52700000,7731483,4.67,2387,5125
Mandalika,28.84,4400000000,6144653,4.6,22336,2522
Morotai,29.74,52700,6558269,4.43,332,4979
Raja Ampat,6.07,2200000000,22061319,4.85,2421,6016
Tanjung Kelayang,70.57,7600000000,4046860,4.7,10419,1579
Wakatobi,46.69,980300000,10267463,4.65,325,5233
