DPP,Wilayah,Nama_Pelabuhan,Latitude,Longitude
Danau Toba,Sumatera Utara,Pelabuhan Tiga Raja,2.6609915,98.9303531
Kepulauan Seribu,Daerah Khusus Ibukota Jakarta,Pelabuhan Muara Angke (Kali Adem),-6.104333,106.7717159
Mandalika,Nusa Tenggara Barat,Pelabuhan Penyeberangan Lembar,-8.730002,116.0770879
Labuan Bajo,Nusa Tenggara Timur,Pelabuhan Utama Labuan Bajo,-8.4936356,119.8753601
Wakatobi,Sulawesi Tenggara,Pelabuhan Panggulubelo Wanci,-5.3389108,123.5335401
Morotai,Maluku Utara,Pelabuhan Penyeberangan Daruba,2.0166925,128.2803871
Tanjung Kelayang,Kepulauan Bangka Belitung,Pelabuhan Tanjung Pandan,-2.7462036,107.6284833
Likupang,Sulawesi Utara,Pelabuhan Munte Likupang,1.6944075,125.0137608
Raja Ampat,Papua Barat Daya,Pelabuhan Utama Waisai,-0.4325286,130.8027935
Borobudur,Jawa Tengah,Tidak Ada Akses Laut,,
Bromo,Jawa Timur,Tidak Ada Akses Laut,,
