DPP,Supply_Total_Hotels,Supply_Avg_Hotel_Price,Supply_Avg_Hotel_Rating,Supply_Avg_Airport_Dist_KM,Supply_Avg_Port_Dist_KM,Flight_Frequency
Borobudur,207,935413.4607,4.385915493,36.82142984,,61
Bromo,260,1244882.31,4.087898089,26.52006556,,7
Danau Toba,449,547605.3333,4.280403458,40.29008969,6.569522225,4
Labuan Bajo,238,2393029.817,4.221830986,1.585329957,1.258083847,27
Likupang,123,1382251.3,4.490697674,18.9078646,,35
Mandalika,234,723108.8333,4.470909091,22.2953614,17.63535856,64
Morotai,14,1482796.889,4.444444444,28.77410611,31.25781386,0
Raja Ampat,415,1285792.56,4.496696697,107.6999077,,20
Tanjung Kelayang,276,478846.2155,4.158222222,149.7774008,135.8114011,7
Wakatobi,43,805936,4.379310345,12.78564273,11.76628444,0
