DPP,Supply_Total_Hotels,Supply_Avg_Hotel_Price,Supply_Avg_Hotel_Rating,Supply_Avg_Airport_Dist_KM,Supply_Avg_Port_Dist_KM,Flight_Frequency,Supply_Total_Restaurants,Supply_Avg_Restaurant_Rating,Supply_Total_Attractions,Supply_Avg_Attraction_Rating
Borobudur,207,935413.4606741572,4.385915492957746,36.82142983762363,,61,67,4.58,58,4.54
Bromo,260,1244882.3097345133,4.087898089171974,26.52006556281029,,7,45,4.59,22,4.68
Danau Toba,449,547605.3333333334,4.280403458213256,40.29008968614176,5.952278729402922,4,106,4.47,43,4.49
Labuan Bajo,238,2393029.8173076925,4.221830985915493,1.585329957405903,1.1227041288787725,27,118,4.46,10,4.6
Likupang,123,1382251.3,4.4906976744186045,18.907864600173003,0.0,35,3,4.75,4,4.45
Mandalika,234,723108.8333333334,4.470909090909092,22.295361396114,16.579078822211194,64,13,4.52,9,4.5
Morotai,14,1482796.888888889,4.444444444444445,28.774106113733406,29.24990570393013,0,114,4.59,12,4.5
Raja Ampat,415,1285792.5598290598,4.496696696696697,107.69990773753877,6.509155708599444,20,68,4.48,8,4.76
Tanjung Kelayang,276,478846.2155172414,4.158222222222222,149.77740079434665,49.014087916640776,7,103,4.46,99,4.44
Wakatobi,43,805936.0,4.379310344827586,12.785642734423163,5.517032347130765,0,67,4.56,0,0.0
