destination,place_name,category,address,rating,review_count,price_range,url,latitude,longitude
tempat makan dekat Mandalika,Mandalika Beach Club,Klub pantai,"
Kuta, Kec. Pujut, Kabupaten Lombok Tengah, Nusa Tenggara Bar. 83573","4,1",554,,"https://www.google.com/maps/place/Mandalika+Beach+Club/@-8.8962364,116.2910989,17z/data=!3m1!4b1!4m6!3m5!1s0x2dcd077df5217641:0xad6a71e588e3759b!8m2!3d-8.8962364!4d116.2910989!16s%2Fg%2F11fn22z73h?authuser=0&hl=id&entry=ttu&g_ep=EgoyMDI2MDYwMS4wIKXMDSoASAFQAw%3D%3D",-8.8962364,116.2910989
tempat makan dekat Mandalika,Warung Flora,Restoran Indonesia,"
Jl. Raya Kuta Lombok, lombok, Kuta, Kabupaten Lombok Tengah, Nusa Tenggara Bar. 83573","4,4",781,Rp 50–75 rb,"https://www.google.com/maps/place/Warung+Flora/@-8.886434,116.2756047,17z/data=!3m1!4b1!4m6!3m5!1s0x2dcda9d389faf389:0x2dcfca14da25a783!8m2!3d-8.886434!4d116.2756047!16s%2Fg%2F11bwl36qhq?authuser=0&hl=id&entry=ttu&g_ep=EgoyMDI2MDYwMS4wIKXMDSoASAFQAw%3D%3D",-8.886434,116.2756047
tempat makan dekat Mandalika,Cheap Zone warung seafood & cocktails.,Restoran Seafood,"
Jalan Pariwisata Pantai Kuta - Mandalika, Kuta, Kec. Pujut, Kabupaten Lombok Tengah, Nusa Tenggara Bar. 83573","4,3",222,Rp 25–150 rb,https://www.google.com/maps/place/Cheap+Zone+warung+seafood+%26+cocktails./data=!4m7!3m6!1s0x2dcda9d3c30e5f0d:0x135d97451f7682d9!8m2!3d-8.8889996!4d116.2824971!16s%2Fg%2F11f03wgvpg!19sChIJDV8Ow9OpzS0R2YJ2H0WXXRM?authuser=0&hl=id&rclk=1,-8.8889996,116.2824971
tempat makan dekat Mandalika,Restoran Aer,Restoran,"
ITDC Mandalika Tourism Complex, Kuta, Kec. Pujut, Kuta, Mandalika, Kabupaten Lombok Tengah, Nusa Tenggara Bar. 83573","4,7",64,,https://www.google.com/maps/place/Restoran+Aer/data=!4m7!3m6!1s0x2dcd070a19b14c57:0x2b4ec79576edf5d8!8m2!3d-8.901154!4d116.2956587!16s%2Fg%2F11t3gnbc_6!19sChIJV0yxGQoHzS0R2PXtdpXHTis?authuser=0&hl=id&rclk=1,-8.901154,116.2956587
tempat makan dekat Mandalika,El Bazar Cafe & Restaurant,Restoran,"
Jl. Raya Kuta No.5, Kuta, Kec. Pujut, Kabupaten Lombok Tengah, Nusa Tenggara Bar. 83573","4,7",3149,Rp 250.000+,https://www.google.com/maps/place/El+Bazar+Cafe+%26+Restaurant/data=!4m7!3m6!1s0x2dcda82ca64e2a6d:0x2f578734cbf46f98!8m2!3d-8.8907153!4d116.2768532!16s%2Fg%2F11b6sy68c1!19sChIJbSpOpiyozS0RmG_0yzSHVy8?authuser=0&hl=id&rclk=1,-8.8907153,116.2768532
tempat makan dekat Mandalika,The Hut Restaurant Kuta,Restoran,"
Jl. Raya Kuta No.5, Kuta, Kec. Pujut, Kabupaten Lombok Tengah, Nusa Tenggara Bar. 83573","4,7",829,Rp 75–125 rb,https://www.google.com/maps/place/The+Hut+Restaurant+Kuta/data=!4m7!3m6!1s0x2dcda9cedde47aff:0xeec5828ec50656d5!8m2!3d-8.8899275!4d116.2765952!16s%2Fg%2F11fnx65qtp!19sChIJ_3rk3c6pzS0R1VYGxY6Cxe4?authuser=0&hl=id&rclk=1,-8.8899275,116.2765952
tempat makan dekat Mandalika,Gulas Lounge,Restoran Seafood,"
Kuta, Kec. Pujut, Kabupaten Lombok Tengah, Nusa Tenggara Bar. 83573","4,7",571,Rp 25–50 rb,https://www.google.com/maps/place/Gulas+Lounge/data=!4m7!3m6!1s0x2dcda9d37ed746bd:0x19c764e67554622e!8m2!3d-8.8897042!4d116.2819023!16s%2Fg%2F11c3k2_d4c!19sChIJvUbXftOpzS0RLmJUdeZkxxk?authuser=0&hl=id&rclk=1,-8.8897042,116.2819023
tempat makan dekat Mandalika,Rumah Makan Khas Lombok Tanjung Karang,Restoran Indonesia,"
Jl. Arya Banjar Getas No. 88X Ampenan, Sekarbela, Tj. Karang, Kec. Mataram, Kota Mataram, Nusa Tenggara Bar. 83115","4,7",1628,Rp 25–50 rb,https://www.google.com/maps/place/Rumah+Makan+Khas+Lombok+Tanjung+Karang/data=!4m7!3m6!1s0x2dcdc078125b46af:0xd804f16e3eb35e19!8m2!3d-8.5966838!4d116.0759605!16s%2Fg%2F1pzvmr660!19sChIJr0ZbEnjAzS0RGV6zPm7xBNg?authuser=0&hl=id&rclk=1,-8.5966838,116.0759605
tempat makan dekat Mandalika,KRNK Bar & Restaurant,Restoran,"
Lombok, Next To El Bazar, Jl. Raya Kuta No. 5a Kuta, Kuta Lombok, Pujut, Central Lombok Regency, West Nusa Tenggara 83573","4,7",3600,Rp 100–225 rb,https://www.google.com/maps/place/KRNK+Bar+%26+Restaurant/data=!4m7!3m6!1s0x2dcda82ca89392c3:0xcbff982ff1a77184!8m2!3d-8.8906827!4d116.2770071!16s%2Fg%2F11c47_m9jw!19sChIJw5KTqCyozS0RhHGn8S-Y_8s?authuser=0&hl=id&rclk=1,-8.8906827,116.2770071
tempat makan dekat Mandalika,SeaSalt,Restoran Seafood,"
Jalan Raya Pantai, Kuta, Pujut, Central Lombok Regency, West Nusa Tenggara","4,7",700,Rp 100–225 rb,https://www.google.com/maps/place/SeaSalt/data=!4m7!3m6!1s0x2dcda9d4561a8f53:0x3d150bd20f302a7e!8m2!3d-8.8926516!4d116.2808186!16s%2Fg%2F11f01pp_mg!19sChIJU48aVtSpzS0RfiowD9ILFT0?authuser=0&hl=id&rclk=1,-8.8926516,116.2808186
tempat makan dekat Mandalika,Ayam Bakar Primarasa,Restoran Indonesia,"
Jl. Ahmad Yani No.166, Gayungan, Kec. Gayungan, Surabaya, Jawa Timur 60235","4,4",9987,Rp 25–75 rb,https://www.google.com/maps/place/Ayam+Bakar+Primarasa/data=!4m7!3m6!1s0x2dd7fb424d89ca41:0x59c31a204e07b94c!8m2!3d-7.3301425!4d112.730468!16s%2Fg%2F1hm3hdflx!19sChIJQcqJTUL71y0RTLkHTiAaw1k?authuser=0&hl=id&rclk=1,-7.3301425,112.730468
tempat makan dekat Mandalika,Knalpot Restaurant & Bar,Restoran,"
Jl. Raya Kuta No.5, Kuta, Kec. Pujut, Kabupaten Lombok Tengah, Nusa Tenggara Bar. 83573","4,6",897,,https://www.google.com/maps/place/Knalpot+Restaurant+%26+Bar/data=!4m7!3m6!1s0x2dcda91b34db4af3:0x810a3191e5364bf1!8m2!3d-8.8898432!4d116.2768277!16s%2Fg%2F11glyc5jcj!19sChIJ80rbNBupzS0R8Us25ZExCoE?authuser=0&hl=id&rclk=1,-8.8898432,116.2768277
tempat makan dekat Mandalika,Waroeng Murah Meriah (mama rico),Restoran Indonesia,"
474M+GF3, Kuta, Kec. Pujut, Kabupaten Lombok Tengah, Nusa Tenggara Bar. 83573","4,0",25,,https://www.google.com/maps/place/Waroeng+Murah+Meriah+%28mama+rico%29/data=!4m7!3m6!1s0x2dcda9d67616c91d:0x48b35181a54e56f8!8m2!3d-8.893662!4d116.283656!16s%2Fg%2F11c52bpbv3!19sChIJHckWdtapzS0R-FZOpYFRs0g?authuser=0&hl=id&rclk=1,-8.893662,116.283656
tempat makan dekat Labuan Bajo,Warung A'A,Kedai Sarapan & Makan Siang,"
Jl. Alo Tanis Jl. Bandara, Labuan Bajo, Kec. Komodo, Kabupaten Manggarai Barat, Nusa Tenggara Tim. 86763","4,7",31,Rp 25–50 rb,https://www.google.com/maps/place/Warung+A%27A/data=!4m7!3m6!1s0x2db46537bba6c9bb:0x76c428d04f58bf2f!8m2!3d-8.4893122!4d119.8846867!16s%2Fg%2F11pd0tx4gy!19sChIJu8mmuzdltC0RL79YT9AoxHY?authuser=0&hl=id&rclk=1,-8.4893122,119.8846867
tempat makan dekat Labuan Bajo,Warung Makan Pak Puji II,Restoran Indonesia,"
Jl. Soekarno Hatta, Labuan Bajo, Kec. Komodo, Kabupaten Manggarai Barat, Nusa Tenggara Tim.","4,7",76,Rp 25–50 rb,https://www.google.com/maps/place/Warung+Makan+Pak+Puji+II/data=!4m7!3m6!1s0x2db46759ed864c53:0x8e7bb210699b8c38!8m2!3d-8.4971118!4d119.8827029!16s%2Fg%2F11pd3q8ts0!19sChIJU0yG7VlntC0ROIybaRCye44?authuser=0&hl=id&rclk=1,-8.4971118,119.8827029
tempat makan dekat Labuan Bajo,Yoko Mane - Labuan Bajo,Toko Es Krim,"
GV6H+35 Batu Cermin, Gang Tuna Jl. Soekarno Hatta, Labuan Bajo, Kec. Komodo, Kabupaten Manggarai Barat, Nusa Tenggara Tim. 86763","5,0",25,,https://www.google.com/maps/place/Yoko+Mane+-+Labuan+Bajo/data=!4m7!3m6!1s0x2db4656e53b98d01:0xaaaafc47efc6cc9a!8m2!3d-8.4898125!4d119.8779375!16s%2Fg%2F11t9rql67v!19sChIJAY25U25ltC0RmszG70f8qqo?authuser=0&hl=id&rclk=1,-8.4898125,119.8779375
tempat makan dekat Labuan Bajo,Meruorah Komodo Labuan Bajo,,"
Kawasan Marina, Jl. Soekarno Hatta, Labuan Bajo, Kec. Komodo, Kabupaten Manggarai Barat, Nusa Tenggara Tim. 86711","4,5",1720,Rp 1.957.320,https://www.google.com/maps/place/Meruorah+Komodo+Labuan+Bajo/data=!4m10!3m9!1s0x2db467b71e7f4d61:0x3dd8b2ed1bc3e37a!5m2!4m1!1i2!8m2!3d-8.4902831!4d119.8755633!16s%2Fg%2F11f79l1_6b!19sChIJYU1_HrdntC0ReuPDG-2y2D0?authuser=0&hl=id&rclk=1,-8.4902831,119.8755633
tempat makan dekat Labuan Bajo,wisata kuliner pagi kampung ujung,Pasar,"
Jl. Soekarno Hatta No.89, Labuan Bajo, Kec. Komodo, Kabupaten Manggarai Barat, Nusa Tenggara Tim.","4,6",7,,https://www.google.com/maps/place/wisata+kuliner+pagi+kampung+ujung/data=!4m7!3m6!1s0x2db467fb8ae79431:0xd2a8d849f8d4fbb5!8m2!3d-8.4882852!4d119.8765853!16s%2Fg%2F11rx4lzpdb!19sChIJMZTnivtntC0RtfvU-EnYqNI?authuser=0&hl=id&rclk=1,-8.4882852,119.8765853
tempat makan dekat Labuan Bajo,Honzen Komodo,Restoran Jepang,"
AYANA Komodo Resort, Pantai Waecicu, Labuan Bajo, Kec. Komodo, Kabupaten Manggarai Barat, Nusa Tenggara Tim. 86554","4,6",466,Rp 250.000+,https://www.google.com/maps/place/Honzen+Komodo/data=!4m7!3m6!1s0x2db467441746814b:0x2f54f14ba27903d6!8m2!3d-8.4678817!4d119.8740227!16s%2Fg%2F11fd750krp!19sChIJS4FGF0RntC0R1gN5okvxVC8?authuser=0&hl=id&rclk=1,-8.4678817,119.8740227
tempat makan dekat Labuan Bajo,RaJawen Waroeng,Restoran Indonesia,"
GV5J+QQ4, Jl. Alo Tanis, Labuan Bajo, Kec. Komodo, Kabupaten Manggarai Barat, Nusa Tenggara Tim.","4,8",88,Rp 25–50 rb,https://www.google.com/maps/place/RaJawen+Waroeng/data=!4m7!3m6!1s0x2db4650067c11d97:0xabf198fd143dd995!8m2!3d-8.4906061!4d119.8819611!16s%2Fg%2F11xflw_fq_!19sChIJlx3BZwBltC0Rldk9FP2Y8as?authuser=0&hl=id&rclk=1,-8.4906061,119.8819611
tempat makan dekat Labuan Bajo,Three angels,Restoran,"
GV6G+HFC, Jl. Soekarno Hatta, Labuan Bajo, Kec. Komodo, Kabupaten Manggarai Barat, Nusa Tenggara Tim.","4,2",55,Rp 250.000+,https://www.google.com/maps/place/Three+angels/data=!4m7!3m6!1s0x2db467004a2e6cf7:0x192d9302d46dd522!8m2!3d-8.4885137!4d119.8761368!16s%2Fg%2F11wjlmn8fv!19sChIJ92wuSgBntC0RItVt1AKTLRk?authuser=0&hl=id&rclk=1,-8.4885137,119.8761368
tempat makan dekat Labuan Bajo,Taman Laut Handayani Seafood Restaurant Labuan Bajo,Restoran Seafood,"
Jl. Ande Bole No.9, Labuan Bajo, Kec. Komodo, Kabupaten Manggarai Barat, Nusa Tenggara Tim.","4,7",5561,Rp 75–225 rb,https://www.google.com/maps/place/Taman+Laut+Handayani+Seafood+Restaurant+Labuan+Bajo/data=!4m7!3m6!1s0x2db467ad8b44537f:0x3ab46d6120ae37b6!8m2!3d-8.4919536!4d119.8784425!16s%2Fg%2F11fs7v3z16!19sChIJf1NEi61ntC0RtjeuIGFttDo?authuser=0&hl=id&rclk=1,-8.4919536,119.8784425
tempat makan dekat Labuan Bajo,SATARA Seafood Labuan Bajo,Restoran Seafood,"
Gang Tuna Jl. Soekarno Hatta No.1, Labuan Bajo, Kec. Komodo, Kab. Manggarai bat, Nusa Tenggara Tim. 86754","4,0",1,,https://www.google.com/maps/place/SATARA+Seafood+Labuan+Bajo/data=!4m7!3m6!1s0x2db46776c8e00bad:0x953eb936f5b53d47!8m2!3d-8.4897228!4d119.8779893!16s%2Fg%2F11rp31cj0t!19sChIJrQvgyHZntC0RRz219Ta5PpU?authuser=0&hl=id&rclk=1,-8.4897228,119.8779893
tempat makan dekat Labuan Bajo,Labuan Bajo,,,,,,https://www.google.com/maps/place/Labuan+Bajo/data=!4m7!3m6!1s0x2db468a6d47ed641:0x87f524333c6a6e8d!8m2!3d-8.49246!4d119.8773097!16s%2Fm%2F09v4h8p!19sChIJQdZ-1KZotC0RjW5qPDMk9Yc?authuser=0&hl=id&rclk=1,-8.49246,119.8773097
tempat makan dekat Labuan Bajo,Le Prins Bajo Chinese Restaurant,Restoran China,"
Jl. Pantai Pede, Labuan Bajo, Kec. Komodo, Kabupaten Manggarai Barat, Nusa Tenggara Tim. 86711","4,9",52,Rp 100–225 rb,https://www.google.com/maps/place/Le+Prins+Bajo+Chinese+Restaurant/data=!4m7!3m6!1s0x2db46743ed8cddc3:0xfb03bf1fcf1dae55!8m2!3d-8.5033722!4d119.8808924!16s%2Fg%2F11yqk797gr!19sChIJw92M7UNntC0RVa4dzx-_A_s?authuser=0&hl=id&rclk=1,-8.5033722,119.8808924
tempat makan dekat Labuan Bajo,Sei Nusa Eatery Labuan Bajo,Restoran,"
Jl. Soekarno Hatta, Labuan Bajo, Kec. Komodo, Kabupaten Manggarai Barat, Nusa Tenggara Tim. 86754","4,7",140,Rp 50–75 rb,https://www.google.com/maps/place/Sei+Nusa+Eatery+Labuan+Bajo/data=!4m7!3m6!1s0x2db46502560670d3:0x88639b754ae2eaf!8m2!3d-8.4974311!4d119.8828853!16s%2Fg%2F11pqc139hv!19sChIJ03AGVgJltC0Rry6uVLc5hgg?authuser=0&hl=id&rclk=1,-8.4974311,119.8828853
tempat makan dekat Labuan Bajo,Burger Time,Restoran Hamburger,"
Jl. Soekarno Hatta, Labuan Bajo, Kec. Komodo, Kabupaten Manggarai Barat, Nusa Tenggara Tim. 86764","4,5",573,Rp 75–150 rb,https://www.google.com/maps/place/Burger+Time/data=!4m7!3m6!1s0x2db46429d2bed997:0x411b805a35698432!8m2!3d-8.4971703!4d119.879675!16s%2Fg%2F11byypbtmv!19sChIJl9m-0ilktC0RMoRpNVqAG0E?authuser=0&hl=id&rclk=1,-8.4971703,119.879675
tempat makan dekat Labuan Bajo,Warung Lokal Hot Plate,Restoran,"
Jl. Kembang Sepatu Gg. Blanak, Labuan Bajo, Kec. Komodo, Kabupaten Manggarai Barat, Nusa Tenggara Tim. 86763","5,0",73,Rp 25–50 rb,https://www.google.com/maps/place/Warung+Lokal+Hot+Plate/data=!4m7!3m6!1s0x2db465afc68cf363:0x83f627b4e47c74a3!8m2!3d-8.4980857!4d119.8836304!16s%2Fg%2F11mllb21sh!19sChIJY_OMxq9ltC0Ro3R85LQn9oM?authuser=0&hl=id&rclk=1,-8.4980857,119.8836304
tempat makan dekat Labuan Bajo,Paradise BAR,Bar,"
GV8H+2M4, Jl. Binongko, Labuan Bajo, Kec. Komodo, Kabupaten Manggarai Barat, Nusa Tenggara Tim.","4,3",805,Rp 50–200 rb,https://www.google.com/maps/place/Paradise+BAR/data=!4m7!3m6!1s0x2db4667f2e74186f:0x4cd49f1dbe4ea1c8!8m2!3d-8.4849818!4d119.8791891!16s%2Fg%2F11b7ybwfjl!19sChIJbxh0Ln9mtC0RyKFOvh2f1Ew?authuser=0&hl=id&rclk=1,-8.4849818,119.8791891
tempat makan dekat Labuan Bajo,Warung Pada Elo Labuan Bajo,Restoran,"
GV6G+842, Labuan Bajo, Kec. Komodo, Kabupaten Manggarai Barat, Nusa Tenggara Tim.","3,0",2,,https://www.google.com/maps/place/Warung+Pada+Elo+Labuan+Bajo/data=!4m7!3m6!1s0x2db467fd7ba9a945:0xfadb44109d8b8fd3!8m2!3d-8.4892253!4d119.8752558!16s%2Fg%2F11fmc5qw4y!19sChIJRampe_1ntC0R04-LnRBE2_o?authuser=0&hl=id&rclk=1,-8.4892253,119.8752558
tempat makan dekat Labuan Bajo,Kopi Mane Inspiration - Labuan Bajo,Kedai Kopi,"
Cermin, Jl. Soekarno Hatta Gg Tuna, Labuan Bajo, Komodo, West Manggarai Regency, East Nusa Tenggara","4,4",389,Rp 25–50 rb,https://www.google.com/maps/place/Kopi+Mane+Inspiration+-+Labuan+Bajo/data=!4m7!3m6!1s0x2db4642bf3dc7b8f:0x61ced5daae35f0f3!8m2!3d-8.4897506!4d119.8779585!16s%2Fg%2F11cjnpywfb!19sChIJj3vc8ytktC0R8_A1rtrVzmE?authuser=0&hl=id&rclk=1,-8.4897506,119.8779585
tempat makan dekat Labuan Bajo,Kedai Daeng Labuan Bajo,Restoran,"
Wisata Kuliner Kampung UjungLabuan, Labuan Bajo, Kec. Komodo, Kabupaten Manggarai Barat, Nusa Tenggara Tim.","3,6",41,Rp 100–250 rb,https://www.google.com/maps/place/Kedai+Daeng+Labuan+Bajo/data=!4m7!3m6!1s0x2db467c7ce5cb997:0x473c37347e3ed8e5!8m2!3d-8.4877335!4d119.8776522!16s%2Fg%2F11h4pk6kd1!19sChIJl7lczsdntC0R5dg-fjQ3PEc?authuser=0&hl=id&rclk=1,-8.4877335,119.8776522
tempat makan dekat Labuan Bajo,"Bandara Internasional Komodo, Labuan Bajo",Bandara Internasional,"
Labuan Bajo, Kec. Komodo, Kabupaten Manggarai Barat, Nusa Tenggara Tim.","4,2",1413,,"https://www.google.com/maps/place/Bandara+Internasional+Komodo,+Labuan+Bajo/data=!4m7!3m6!1s0x2db465219938ff6f:0x65f416d9240eb787!8m2!3d-8.488846!4d119.8871342!16s%2Fm%2F02pkb98!19sChIJb_84mSFltC0Rh7cOJNkW9GU?authuser=0&hl=id&rclk=1",-8.488846,119.8871342
tempat makan dekat Labuan Bajo,Rumah Makan Padang Pancuran Tujuh,Restoran Padang,"
FVXJ+JVF, Gorontalo, Kec. Komodo, Kabupaten Manggarai Barat, Nusa Tenggara Tim.","4,4",64,Rp 25–50 rb,https://www.google.com/maps/place/Rumah+Makan+Padang+Pancuran+Tujuh/data=!4m7!3m6!1s0x2db464278e3bfdbb:0xfe33566f11cdfba8!8m2!3d-8.5009434!4d119.8821761!16s%2Fg%2F11gfm9g9w9!19sChIJu_07jidktC0RqPvNEW9WM_4?authuser=0&hl=id&rclk=1,-8.5009434,119.8821761
tempat makan dekat Labuan Bajo,Pu’u Pau Hostel & Coffee Shop,,,"4,8",298,Rp 453.636,https://www.google.com/maps/place/Pu%E2%80%99u+Pau+Hostel+%26+Coffee+Shop/data=!4m10!3m9!1s0x2db46764fb6403c3:0xc9ffd23dfb6fdac7!5m2!4m1!1i2!8m2!3d-8.493762!4d119.8784315!16s%2Fg%2F11l1d194dd!19sChIJwwNk-2RntC0Rx9pv-z3S_8k?authuser=0&hl=id&rclk=1,-8.493762,119.8784315
tempat makan dekat Labuan Bajo,Bajo Alley Cafe,Kafe,"
GV4H+6CX, Jl. Soekarno Hatta, Labuan Bajo, Kec. Komodo, Kabupaten Manggarai Barat, Nusa Tenggara Tim.","4,7",113,Rp 75–100 rb,https://www.google.com/maps/place/Bajo+Alley+Cafe/data=!4m7!3m6!1s0x2db46700230f93f3:0xab971dccb025762c!8m2!3d-8.4941933!4d119.8785672!16s%2Fg%2F11vyf2jktq!19sChIJ85MPIwBntC0RLHYlsMwdl6s?authuser=0&hl=id&rclk=1,-8.4941933,119.8785672
tempat makan dekat Labuan Bajo,The Bay Restaurant,Restoran,"
Kawasan Marina, Jl. Soekarno Hatta, Labuan Bajo, Kec. Komodo, Kabupaten Manggarai Barat, Nusa Tenggara Tim. 86711","4,6",185,Rp 250.000+,https://www.google.com/maps/place/The+Bay+Restaurant/data=!4m7!3m6!1s0x2db467b30372f637:0x32fec259274da764!8m2!3d-8.4904634!4d119.8754347!16s%2Fg%2F11qgyv81vx!19sChIJN_ZyA7NntC0RZKdNJ1nC_jI?authuser=0&hl=id&rclk=1,-8.4904634,119.8754347
tempat makan dekat Labuan Bajo,Taba,Restoran,"
Pantai Wae Rana, Labuan Bajo, Kec. Komodo, Kabupaten Manggarai Barat, Nusa Tenggara Tim. 86763","4,7",29,Rp 250.000+,https://www.google.com/maps/place/Taba/data=!4m7!3m6!1s0x2db46568c774bf55:0xb63a309119bb0dd7!8m2!3d-8.4747595!4d119.8816418!16s%2Fg%2F11w46nsc4g!19sChIJVb90x2hltC0R1w27GZEwOrY?authuser=0&hl=id&rclk=1,-8.4747595,119.8816418
tempat makan dekat Labuan Bajo,Le Resto Komodo,Restoran,"
Jl. Mutiara, Kampung Unjung, Labuan Bajo, Kec. Komodo, Kabupaten Manggarai Barat, Nusa Tenggara Tim. 86754","4,4",133,Rp 100–125 rb,https://www.google.com/maps/place/Le+Resto+Komodo/data=!4m7!3m6!1s0x2db4677383a0d423:0xd0b7f6a8bd4eead6!8m2!3d-8.4889216!4d119.8769281!16s%2Fg%2F11t5svd875!19sChIJI9Sgg3NntC0R1upOvaj2t9A?authuser=0&hl=id&rclk=1,-8.4889216,119.8769281
tempat makan dekat Labuan Bajo,Atlantis On The Rock,Restoran,"
Labuan Bajo, Kec. Komodo, Kabupaten Manggarai Barat, Nusa Tenggara Tim. 86757","4,4",342,Rp 250.000+,https://www.google.com/maps/place/Atlantis+On+The+Rock/data=!4m7!3m6!1s0x2db46604b0098b53:0xc8b3cef2de7f3278!8m2!3d-8.4568023!4d119.8703842!16s%2Fg%2F11c6012slv!19sChIJU4sJsARmtC0ReDJ_3vLOs8g?authuser=0&hl=id&rclk=1,-8.4568023,119.8703842
tempat makan dekat Labuan Bajo,Warung Brothers Bajo,Bar,"
Jln. Reklamasi kampung ujung, Labuan Bajo, Kec. Komodo, Kabupaten Manggarai Barat, Nusa Tenggara Tim. 86754","4,7",322,Rp 50–150 rb,https://www.google.com/maps/place/Warung+Brothers+Bajo/data=!4m7!3m6!1s0x2db4672c94ebc2cd:0x2d167481d066ea83!8m2!3d-8.4874624!4d119.8770482!16s%2Fg%2F11qh38klkw!19sChIJzcLrlCxntC0Rg-pm0IF0Fi0?authuser=0&hl=id&rclk=1,-8.4874624,119.8770482
tempat makan dekat Labuan Bajo,Horny Crab Seafood Restaurant,Restoran,"
Jl. Soekarno Hatta, Labuan Bajo, Kec. Komodo, Kabupaten Manggarai Barat, Nusa Tenggara Tim. 86554","4,7",362,Rp 75–225 rb,https://www.google.com/maps/place/Horny+Crab+Seafood+Restaurant/data=!4m7!3m6!1s0x2db467a52916891b:0x5aa8c8459bf3d13a!8m2!3d-8.4951707!4d119.8786755!16s%2Fg%2F11h40prll4!19sChIJG4kWKaVntC0ROtHzm0XIqFo?authuser=0&hl=id&rclk=1,-8.4951707,119.8786755
tempat makan dekat Labuan Bajo,Bajo Banana,Restoran,"
Melo, Liang Ndara Labuan Bajo, Labuan bajo, Flores, Kabupaten Manggarai Barat, Nusa Tenggara Tim.","4,6",73,Rp 50–125 rb,https://www.google.com/maps/place/Bajo+Banana/data=!4m7!3m6!1s0x2db46360bd587f71:0x28dabc1f37ba64cc!8m2!3d-8.5892392!4d119.9481301!16s%2Fg%2F11wf_0tr2h!19sChIJcX9YvWBjtC0RzGS6Nx-82ig?authuser=0&hl=id&rclk=1,-8.5892392,119.9481301
