DPP,total_restoran,avg_rating_restoran,total_atraksi,avg_rating_atraksi
Bangka Belitung,103,4.4553398058252425,99.0,4.4389473684210525
Borobudur,67,4.582089552238806,58.0,4.536842105263158
Bromo,45,4.593333333333333,22.0,4.677272727272728
Danau Toba,106,4.472641509433963,43.0,4.4906976744186045
Labuan Bajo,118,4.458119658119658,10.0,4.6
Likupang,3,4.75,4.0,4.449999999999999
Mandalika,13,4.515384615384615,9.0,4.5
Morotai,114,4.586138613861386,12.0,4.5
Raja Ampat,68,4.484848484848484,8.0,4.7625
Wakatobi,67,4.562686567164179,0.0,0.0
